LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF,,,,,,,,,,,,
AL,TO,Roark,Tanner,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Hatch,Thomas,REG,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Bergen-1,Travis,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Thornton,Trent,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,TO,Font,Wilmer,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Nick,Ahmed,REG,B,,,,,1(B2),,,,,,,,,,,,,,,
NL,AR,Kole,Calhoun,REG,B,,,,,,,,2,,,,,,,,,,,,
NL,AR,Kevin,Cron,ADD,B,,4,,,,,,,,,,,,,,,,,,
NL,AR,Eduardo,Escobar,REG,B,,,4,3,,,,,,,,,,,,,,,,
NL,AR,Jon,Jay,REG,B,,,,,,3,3,3,,,,,,,,,,,,
NL,AR,Carson,Kelly,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,AR,Jake,Lamb-1,ADD,B,,4,,4,,,,,,,,,,,,,,,,
NL,AR,Tim,Locastro,REG,B,,,,,,2,3,2,,,,,,,,,,,,
NL,AR,Ketel,Marte,REG,B,,,2,,3,,3,,,,,,,,,,,,,
NL,AR,Wyatt,Mathisen,ADD,B,,,,4,,,,,,,,,,,,,,,,
NL,AR,David,Peralta,REG,B,,,,,,3(B2),,,,,,,,,,,,,,
NL,AR,Josh,Rojas,REG,B,,,4,,4,4,,,,,,,,,,,,,,
NL,AR,Pavin,Smith,ADD,B,,4,,,,4,,4,,,,,,,,,,,,
NL,AR,Josh,VanMeter,REG,B,,4,3,4,,,,,,,,,,,,,,,,
NL,AR,Daulton,Varsho,REG,B,4,,,,,3,4,,,,,,,,,,,,,
NL,AR,Stephen,Vogt,REG,B,4,5,,,,,,,,,,,,,,,,,,
NL,AR,Christian,Walker,REG,B,,2(B3),,,,,,,,,,,,,,,,,,
NL,AR,Andy,Young,ADD,B,,,4,5,,4,,,,,,,,,,,,,,
NL,AR,Young,Alex,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Lewicki,Artie,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Smith,Caleb,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Rondon,Hector,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Beasley,Jeremy,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Mantiply,Joe,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Payamps,Joel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Guerra-3,Junior,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Mella,Keury,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Ginkel,Kevin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Weaver,Luke,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Bumgarner,Madison,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Grace,Matt,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Kelly,Merrill,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Smith,Riley,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Ray-1,Robbie,MIX,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Bracho,Silvino,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Crichton,Stefan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Clarke,Taylor,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Widener,Taylor,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Bergen-2,Travis,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Lopez,Yoan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AR,Gallen,Zac,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Ronald,Acuna Jr,REG,B,,,,,,,3(B2),3(B2),,,,,,,,,,,,
NL,AT,Matt,Adams,ADD,B,,4,,,,,,,,,,,,,,,,,,
NL,AT,Ozzie,Albies,REG,B,,,1,,,,,,,,,,,,,,,,,
NL,AT,Johan,Camargo,REG,B,,,3,3,,,,,,,,,,,,,,,,
NL,AT,William,Contreras-1,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,AT,Charlie,Culberson,COMP,B,,4,4,,,,,,,,,,,,,,,,,
NL,AT,Travis,d'Arnaud,REG,B,4,,,,,,,,,,,,,,,,,,,
NL,AT,Adam,Duvall,REG,B,,,,,,2,,3,,,,,,,,,,,,
NL,AT,Tyler,Flowers,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,AT,Freddie,Freeman,REG,B,,1,,,,,,,,,,,,,,,,,,
NL,AT,Adeiny,Hechavarria,REG,B,,,2,3(B4),3,,,,,,,,,,,,,,,
NL,AT,Ender,Inciarte,REG,B,,,,,,,2,,,,,,,,,,,,,
NL,AT,Alex,Jackson,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,AT,Nick,Markakis,REG,B,,,,,,4,,4,,,,,,,,,,,,
NL,AT,Marcell,Ozuna,REG,B,,,,,,4,,4,,,,,,,,,,,,
NL,AT,Cristian,Pache,COMP,B,,,,,,2,,,,,,,,,,,,,,
NL,AT,Austin,Riley,REG,B,,4,,4,,5,,,,,,,,,,,,,,
NL,AT,Pablo,Sandoval,MIX,B,,3,,4,,,,,,,,,,,,,,,,
NL,AT,Scott,Schebler,COMP,B,,,,,,,,4,,,,,,,,,,,,
NL,AT,Dansby,Swanson,REG,B,,,,,2,,,,,,,,,,,,,,,
NL,AT,Minter,A.J.,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Wilson,Bryse,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Sobotka,Chad,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Martin,Chris,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Rusin,Chris,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Hamels,Cole,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AT,O'Day,Darren,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Dayton,Grant,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Ynoa,Huascar,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Anderson,Ian,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Webb,Jacob,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Chacin,Jhoulys,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Tomlin,Josh,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Wright,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Jackson,Luke,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Melancon,Mark,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Fried,Max,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Foltynewicz,Mike,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Soroka,Mike,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Weigel,Patrick,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Erlin,Robbie,MIX,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Newcomb,Sean,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Greene,Shane,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Milone-2,Tommy,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Toussaint,Touki,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Davidson,Tucker,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Matzek,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
NL,AT,Smith,Will,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Albert,Almora Jr,REG,B,,,,,,,2,,,,,,,,,,,,,
NL,CC,Javier,Baez,REG,B,,,,,1(B2),,,,,,,,,,,,,,,
NL,CC,David,Bote,REG,B,,4,3,2(B3),,,,,,,,,,,,,,,,
NL,CC,Kris,Bryant,REG,B,,4,,3,,4,,,,,,,,,,,,,,
NL,CC,Victor,Caratini,REG,B,3,4,,,,,,,,,,,,,,,,,,
NL,CC,Willson,Contreras-2,REG,B,2,,,,,,,,,,,,,,,,,,,
NL,CC,Billy,Hamilton,ADD,B,,,,,,,1,,,,,,,,,,,,,
NL,CC,Ian,Happ,REG,B,,4,,,,3,4,4,,,,,,,,,,,,
NL,CC,Jason,Heyward,REG,B,,,,,,,,1,,,,,,,,,,,,
NL,CC,Nico,Hoerner,REG,B,,,2,3,3,,4,,,,,,,,,,,,,
NL,CC,Jason,Kipnis,REG,B,,4,4,,,,,,,,,,,,,,,,,
NL,CC,Jose,Martinez-2,ADD,B,,,,,,,,,,,,,,,,,,,,
NL,CC,Cameron,Maybin-2,REG,B,,,,,,3,3,3,,,,,,,,,,,,
NL,CC,Hernan,Perez,COMP,B,,4,3,,,4,,,,,,,,,,,,,,
NL,CC,Josh,Phegley,ADD,B,4,,,,,,,,,,,,,,,,,,,
NL,CC,Anthony,Rizzo,REG,B,,1,,,,,,,,,,,,,,,,,,
NL,CC,Kyle,Schwarber,REG,B,,,,,,4,,,,,,,,,,,,,,
NL,CC,Steven,Souza Jr,ADD,B,,,,,,3,,2,,,,,,,,,,,,
NL,CC,Ildemaro,Vargas-2,ADD,B,,4,3,4,,,,,,,,,,,,,,,,
NL,CC,Patrick,Wisdom,COMP,B,,4,,,,,,,,,,,,,,,,,,
NL,CC,Alzolay,Adbert,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Mills,Alec,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Chafin,Andrew,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Wieck,Brad,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Marquez,Brailyn,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Sadler-1,Casey,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Rea,Colin,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Kimbrel,Craig,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Winkler,Dan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Maples,Dillon,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Underwood Jr.,Duane,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Norwood,James,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Adam,Jason,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Jeffress,Jeremy,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Lester,Jon,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Quintana,Jose,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Osich-2,Josh,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Hendricks,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Ryan,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Dermody,Matt,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Brothers,Rex,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Wick,Rowan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Tepera,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Chatwood,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Miller,Tyson,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CC,Darvish,Yu,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Shogo,Akiyama,REG,B,,,,,,1,3(B2),,,,,,,,,,,,,
NL,CN,Aristides,Aquino,REG,B,,,,,,3,4,3,,,,,,,,,,,,
NL,CN,Tucker,Barnhart,REG,B,1,4,,,,,,,,,,,,,,,,,,
NL,CN,Curt,Casali,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,CN,Nicholas,Castellanos,REG,B,,,,,,,,5,,,,,,,,,,,,
NL,CN,Christian,Colon,ADD,B,,4,3,,,,,,,,,,,,,,,,,
NL,CN,Matt,Davidson,ADD,B,,4,,,,,,,,,,,,,,,,,,
NL,CN,Phillip,Ervin-1,ADD,B,,,,,,3,4,,,,,,,,,,,,,
NL,CN,Kyle,Farmer,REG,B,,4,3,3,3,4,,,,,,,,,,,,,,
NL,CN,Freddy,Galvis,REG,B,,,3,4,,,,,,,,,,,,,,,,
NL,CN,Jose ,Garcia,REG,B,,,,,3,,,,,,,,,,,,,,,
NL,CN,Brian,Goodwin-2,REG,B,,,,,,3,3,3,,,,,,,,,,,,
NL,CN,Travis,Jankowski,ADD,B,,,,,,2,2,2,,,,,,,,,,,,
NL,CN,Mike,Moustakas,REG,B,,3,4(B3),4,,,,,,,,,,,,,,,,
NL,CN,Mark,Payton,ADD,B,,,,,,4,,,,,,,,,,,,,,
NL,CN,Nick,Senzel,REG,B,,,,,,,4,,,,,,,,,,,,,
NL,CN,Tyler,Stephenson,ADD,B,4,,,,,,,,,,,,,,,,,,,
NL,CN,Eugenio,Suarez,REG,B,,,,3,,,,,,,,,,,,,,,,
NL,CN,Joey,Votto,REG,B,,4,,,,,,,,,,,,,,,,,,
NL,CN,Jesse,Winker,REG,B,,,,,,4,,4,,,,,,,,,,,,
NL,CN,Garrett,Amir,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,DeSclafani,Anthony,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Bradley,Archie,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Raley-1,Brooks,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Reed-1,Cody,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Biddle,Jesse,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Kuhnel,Joel,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CN,De Leon,Jose,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Sims,Lucas,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Castillo,Luis,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Lorenzen,Michael,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Jones,Nate,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Strop,Pedro,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Iglesias,Raisel,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Stephenson,Robert,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Romano,Sal,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Gray,Sonny,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Antone,Tejay,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Bauer,Trevor,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Mahle,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Thornburg,Tyler,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CN,Miley,Wade,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Nolan,Arenado,REG,B,,,,1,,,,,,,,,,,,,,,,
NL,CO,Charlie,Blackmon,REG,B,,,,,,,,4(B3),,,,,,,,,,,,
NL,CO,Drew,Butera,ADD,B,3,4,,,,,,,,,,,,,,,,,,
NL,CO,David,Dahl,REG,B,,,,,,3,3,3,,,,,,,,,,,,
NL,CO,Elias,Diaz,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,CO,Josh,Fuentes,REG,B,,2,,4,,,,,,,,,,,,,,,,
NL,CO,Garrett,Hampson,REG,B,,,3,,4,4,3,,,,,,,,,,,,,
NL,CO,Sam,Hilliard,REG,B,,,,,,3,4,3,,,,,,,,,,,,
NL,CO,Matt,Kemp,REG,B,,,,,,5,,,,,,,,,,,,,,
NL,CO,Ryan,McMahon,REG,B,,3,3(B4),3,4,,,,,,,,,,,,,,,
NL,CO,Daniel,Murphy,REG,B,,5,,,,,,,,,,,,,,,,,,
NL,CO,Chris,Owings,ADD,B,,,3,4,4,4,4,,,,,,,,,,,,,
NL,CO,Kevin,Pillar-2,REG,B,,,,,,,1,2,,,,,,,,,,,,
NL,CO,Brendan,Rodgers,ADD,B,,,4,,4,,,,,,,,,,,,,,,
NL,CO,Trevor,Story,REG,B,,,,,1,,,,,,,,,,,,,,,
NL,CO,Raimel,Tapia,REG,B,,,,,,3,,3,,,,,,,,,,,,
NL,CO,Tony,Wolters,REG,B,2,,4,,,,,,,,,,,,,,,,,
NL,CO,Ramos,AJ,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Santos,Antonio,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Senzatela,Antonio,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Goudeau,Ashton,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Estevez,Carlos,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Gonzalez,Chi Chi,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Bard,Daniel,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Marquez,German,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Diaz,Jairo,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Pazos,James,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Hoffman,Jeff,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Tinoco,Jesus,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Harvey,Joe,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Gray,Jon,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Mujica,Jose,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Freeland,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Givens-2,Mychal,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Diehl,Phillip,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Castellani,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Doyle,Tommy,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Kinley,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Davis,Wade,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,CO,Almonte,Yency,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Austin,Barnes,REG,B,2,,,,,,,,,,,,,,,,,,,
NL,LD,Matt,Beaty,ADD,B,,4,,,,4,,,,,,,,,,,,,,
NL,LD,Cody,Bellinger,REG,B,,2,,,,,1,,,,,,,,,,,,,
NL,LD,Mookie,Betts,REG,B,,,4,,,,,1,,,,,,,,,,,,
NL,LD,Kike,Hernandez,REG,B,,4,2(B3),,4,2,3,2,,,,,,,,,,,,
NL,LD,Gavin,Lux,REG,B,,,3(B4),,,,,,,,,,,,,,,,,
NL,LD,Zach,McKinstry,COMP,B,,,4,,,,,4,,,,,,,,,,,,
NL,LD,Max,Muncy,REG,B,,3,4,4,,,,,,,,,,,,,,,,
NL,LD,Joc,Pederson,REG,B,,,,,,3,,3,,,,,,,,,,,,
NL,LD,A.J.,Pollock,REG,B,,,,,,3,3,,,,,,,,,,,,,
NL,LD,Edwin,Rios,REG,B,,4,,4,,,,,,,,,,,,,,,,
NL,LD,Keibert,Ruiz,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,LD,Corey,Seager,REG,B,,,,,3,,,,,,,,,,,,,,,
NL,LD,Will,Smith,REG,B,4,,,,,,,,,,,,,,,,,,,
NL,LD,Chris,Taylor,REG,B,,,3,2,,2,3,,,,,,,,,,,,,
NL,LD,Justin,Turner,REG,B,,,,4,,,,,,,,,,,,,,,,
NL,LD,Kolarek,Adam,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Wood,Alex,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Treinen,Blake,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Graterol,Brusdar,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Ferguson,Caleb,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Kershaw,Clayton,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Santana,Dennis,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,LD,May,Dustin,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Floro,Dylan,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,McGee,Jake,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Kelly,Joe,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Sborz,Josh,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Urias,Julio,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Jansen,Kenley,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,White,Mitch,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Baez,Pedro,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Stripling-1,Ross,MIX,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Alexander,Scott,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Gonsolin,Tony,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Gonzalez,Victor,REG,P,,,,,,,,,,,,,,,,,,,,
NL,LD,Buehler,Walker,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Jesus,Aguilar,REG,B,,3,,5,,,,,,,,,,,,,,,,
NL,MI,Jorge,Alfaro,REG,B,4,,,,,,,5,,,,,,,,,,,,
NL,MI,Eddy,Alvarez,ADD,B,,,4,4,4,,,,,,,,,,,,,,,
NL,MI,Brian,Anderson,REG,B,,4,4,1(B2),,,,,,,,,,,,,,,,
NL,MI,Jon,Berti,REG,B,,,3,4,3,,4,4,,,,,,,,,,,,
NL,MI,Lewis,Brinson,REG,B,,,,,,2,2,2,,,,,,,,,,,,
NL,MI,Francisco,Cervelli,ADD,B,3,,,,,,,,,,,,,,,,,,,
NL,MI,Jazz,Chisholm,REG,B,,,3,,3,,,,,,,,,,,,,,,
NL,MI,Garrett,Cooper,REG,B,,3,,,,,,,,,,,,,,,,,,
NL,MI,Isan,Diaz,ADD,B,,,4,,,,,,,,,,,,,,,,,
NL,MI,Lewin,Diaz,ADD,B,,2,,,,,,,,,,,,,,,,,,
NL,MI,Corey,Dickerson,REG,B,,,,,,4,,,,,,,,,,,,,,
NL,MI,Logan,Forsythe,ADD,B,,4,4,,,,,,,,,,,,,,,,,
NL,MI,Monte,Harrison,REG,B,,,,,,,2,2,,,,,,,,,,,,
NL,MI,Matt,Joyce,REG,B,,,,,,4,,4,,,,,,,,,,,,
NL,MI,Ryan,Lavarnway,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,MI,Starling,Marte,REG,B,,,,,,2,2,,,,,,,,,,,,,
NL,MI,Brian,Navarreto,COMP,B,4,,,,,,,,,,,,,,,,,,,
NL,MI,Harold,Ramirez,COMP,B,,,,,,4,,4,,,,,,,,,,,,
NL,MI,Sean,Rodriguez,COMP,B,,,4,,,4,,,,,,,,,,,,,,
NL,MI,Miguel,Rojas,REG,B,,3,,3,2,,,,,,,,,,,,,,,
NL,MI,Jesus,Sanchez,ADD,B,,,,,,,,3,,,,,,,,,,,,
NL,MI,Magneuris,Sierra,ADD,B,,,,,,2,3,2,,,,,,,,,,,,
NL,MI,Jonathan,Villar-1,MIX,B,,,4,,4,,4,,,,,,,,,,,,,
NL,MI,Chad,Wallach,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,MI,Vesia,Alex,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Boxberger,Brad,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Kintzler,Brandon,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Leibrandt,Brandon,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Garrett,Braxton,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Eibner,Brett,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Moran-2,Brian,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Castano,Daniel,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Hernandez,Elieser,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Mejia,Humberto,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Hoyt,James,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Brigham,Jeff,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Quezada,Johan,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Holloway,Jordan,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Yamamoto,Jordan,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Guzman,Jorge,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Urena,Jose,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Smith,Josh A.,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Smith,Josh D.,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Shafer,Justin,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Morin,Mike,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Neidert,Nick,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Vincent,Nick,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Lopez,Pablo,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Venditte,Pat,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Bleier-2,Richard,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Dugger,Robert,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Stanek,Ryne,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Alcantara,Sandy,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Sanchez,Sixto,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Tarpley,Stephen,ADD,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Sharp,Sterling,COMP,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Rogers-2,Trevor,REG,P,,,,,,,,,,,,,,,,,,,,
NL,MI,Garcia,Yimi,REG,P,,,,,,,,,,,,,,,,,,,,
NL,ML,Orlando,Arcia,REG,B,,,,,2,,4,,,,,,,,,,,,,
NL,ML,Ryan,Braun,REG,B,,,,,,,,4,,,,,,,,,,,,
NL,ML,Lorenzo,Cain,ADD,B,,,,,,,1,,,,,,,,,,,,,
NL,ML,Ben,Gamel,REG,B,,,,,,3,4,3,,,,,,,,,,,,
NL,ML,Avisail,Garcia-2,REG,B,,,,,,,3,3,,,,,,,,,,,,
NL,ML,Jedd,Gyorko,REG,B,,4,,4,,,,,,,,,,,,,,,,
NL,ML,Ryon,Healy,ADD,B,,4,,,,,,,,,,,,,,,,,,
NL,ML,Keston,Hiura,REG,B,,,4,,,,,,,,,,,,,,,,,
NL,ML,Mark,Mathias,ADD,B,,4,4,,,4,,4,,,,,,,,,,,,
NL,ML,Logan,Morrison,ADD,B,,4,,,,,,,,,,,,,,,,,,
NL,ML,Omar,Narvaez,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,ML,Jacob,Nottingham,REG,B,3,,,,,,,,,,,,,,,,,,,
NL,ML,Jace,Peterson,REG,B,,3,3,3,,4,,4,,,,,,,,,,,,
