TM,Location,HITTERS,AB,W,SO v lhp,BBv lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
LAA,,"O'Hoppe,L",423,24,27,5,22.5,28.5,34.5,4,7,-15,20,45,3,12.5,16.5,22.1,3,5,-7,19,7/- (13-6),E,10,D,D,2,404,,,,,,,,"c-4(0)e4,T-5(pb-0)"
LAA,,"Paris,K",126,10,58,2,18.2,25.2,48.2,8.3,8,-3,6,67,8,6.1,19.1,17.9,3,4,0,0,"*2-6,12/- (19-15)",B,15,D,D,1,,,411,,,,304,,cf-3(+1)e4 2b-4e11
LAA,,"Peraza,O",244,17,50,7,3.3,12.4,5.7,0,w*,0,18,36,5,5.6,12.6,10.9,1.8,2,8,18,"*5,6/- (20-13)",B,15,D,D,1,,430,416,211,322,,,,3b-2e11 1b-4e30 2b-4e16 ss-3e22
LAA,,"Rengifo,L+",501,33,17,0,17.8,18.8,27,2,2,-2,10,17,5,21.9,27.9,33.7,3.1,w,-2,9,"*2-6,10/11 (15-10)",C,14,D,C,1,,,208,423,448,,,401,2b-2e8 3b-4e23 rf-4(+2)e1 ss-4e48
LAA,,"Schanuel,N*",488,59,0,15,26.4,45.3,31.8,0.9,0,1,13,5,11,22.9,37.9,29.4,0.8,1,1,13,3/- (17-6),C,12,C,B,2,,208,,,,,,,1b-2e8
LAA,,"Soler,J",279,28,37,12,11.9,26.9,24,3,4,3,11,40,11,12.3,26.3,24.6,3,4,3,14,-/- (---),E,10,D,D,5,,,,,,,,503,rf-5(0)e3
LAA,,"Teodosio,B",138,5,50,0,20.6,26.6,40.5,3,4,-4,7,42,0,12.6,18.6,22.8,0,w,-4,9,*2-6/- (19-15),B,17,D,C,1,,,,,,,104,,cf-1(-2)e4
LAA,,"Trout,M",456,87,56,15,14.4,32.3,23.4,2,2,-5,9,41,25,12.3,40.3,26.3,4.5,7,-5,8,2/- (20-6),E,14,D,D,2,,,,,,,,401,rf-4(0)e1
LAA,,"Ward,T",579,75,36,14,21,36,53.3,5.8,8*,0,14,31,17,11.1,29.1,27.6,4.3,8,-2,14,4/- (16-6),D,13,D,D,1,,,,,,304,,,lf-3(+1)e4
LAA,,"Taylor,C",113,5,42,3,6.2,20.2,13.4,2.3,w,6,3,49,0,12.6,23.6,24.4,0.8,0*,0,4,"*2-7,11,12/9,10 (15-9)",D,13,D,D,5,,,308,406,,303,403,303,lf-3(+1)e3 rf-3e3 2b-3e8 cf-4e3 3b-4e6
LAA,,"Wade Jr,L*",209,27,23,8,0,11,0,0,w*,0,5,29,14,8.7,25.7,20.4,2,w*,0,4,2/- (20-6),E,10,D,D,1,,415,,,,405,,405,1b-4e15 rf-4(+2)e5 lf-4e5
LAN,,"Betts,M",589,61,0,9,21.1,31.1,30.9,2.8,3,9,18,0,13,21.4,35.3,31.1,2,1,8,17,*5/- (18-6),C,13,D,B,1,,,,,208,,,212,ss-2e8 rf-2(-2)e12
LAN,,"Call,A",270,36,18,6,27.3,38.3,39.1,2.7,2,-1,15,12,23,19.1,47.1,28.7,0.9,w,-1,11,7/- (13-6),D,15,B,C,1,,,,,,203,303,203,rf-2(0)e3 lf-2e3 cf-3e3
LAN,,"Conforto,M*",418,56,32,15,18.4,38.4,30.5,2.7,w,-8,14,29,15,8.5,28.5,15.6,1.1,2,-1,19,2/- (20-6),E,11,D,D,1,,,,,,406,,,lf-4(-2)e6
LAN,,"Edman,T+",346,19,15,0,11.6,15.6,29.2,4.8,6,10,8,11,3,17.1,24.1,22.8,1.2,1,10,7,7/- (15-6),D,14,D,C,4,,,204,314,,,304,,2b-2e4 cf-3(0)e4 3b-3e14
LAN,,"Freeland,A+",84,11,75,5,2.5,10.5,2.5,0,w*,0,21,51,16,10.4,29.4,18.5,1.3,1,-1,12,3/- (20-6),D,13,D,D,1,,,310,322,,,,,3b-3e22 2b-3e10
LAN,,"Freeman,F*",556,60,26,8,27.5,37.5,47.2,4,6,-2,15,19,9,29.3,40.3,44.8,2.1,4,-2,16,7/- (15-6),C,12,D,C,1,,303,,,,,,,1b-3e3
LAN,,"Hernandez,E",232,18,26,12,8,20,23.6,5.2,6,2,20,40,4,13.6,17.5,23,2,1,2,23,-/- (---),E,12,D,D,4,,305,317,322,,313,313,,3b-3e22 1b-3e5 2b-3e17 lf-3(-1)e13 cf-3e13
LAN,,"Hernandez,T",511,26,13,0,20.2,21.2,39,3.5,5,4,21,34,3,19.6,23.6,36.4,3.5,5,4,18,"5,6/- (14-6)",D,13,D,D,1,,,,,,,,403,rf-4(-1)e3
LAN,,"Kim,H*",161,7,53,0,27.3,28.3,28.8,0,w,6,0,41,0,29.9,30.9,36.3,0.8,0,6,0,"*2-5,12/- (19-14)",A,16,D,D,3,,,216,,331,,406,,2b-2e16 cf-4(-1)e6 ss-3e31
LAN,,"Muncy,M*",313,64,34,11,3.7,18.6,12.8,2.8,5*,0,7,20,29,16.7,49.7,31.8,4.3,7,-8,3,3/- (20-6),C,12,D,D,4,,,,420,,,,,3b-4e20
LAN,,"Ohtani,S*",611,109,33,10,26.3,37.3,54,6.4,8,-11,8,31,22,21.2,44.2,60.8,11,8,-3,5,*2-5/- (17-12),A,16,D,D,1,,,,,,,,,
LAN,,"Pages,A",581,29,25,0,35.6,38.6,42.6,0.5,0,4,11,22,3,21.3,27.3,38.4,4.5,5,4,10,*2-7/- (15-13),B,14,D,D,1,,,,,,312,312,212,cf-3(-3)e12 rf-2e12 lf-3e12
LAN,,"Rojas,M",290,24,4,11,28.8,39.8,48.3,3.5,4,-8,17,10,5,22.1,27.1,31.6,1.3,w,-8,19,*4/- (20-6),C,11,B,D,1,,425,206,208,212,,,,2b-2e6 3b-2e8 ss-2e12 1b-4e25
LAN,,"Rushing,D*",142,10,59,8,7.3,17.3,7.3,0,w,6,2,57,3,14.1,19.1,25.4,2.4,3,6,2,-/- (---),E,11,D,D,2,401,425,,,,,,,"c-4(-2)e1,T-5(pb-0) 1b-4e25"
LAN,,"Smith,W",362,64,26,26,18.1,47.1,30.6,2.1,3,-1,10,18,23,26.3,52.3,39.9,2.8,4,-1,10,7/9 (13-4),D,12,D,C,3,301,,,,,,,,"c-3(-1)e1,T-5(pb-0)"
LAN,,"Rortvedt,B*",112,11,12,11,12.1,27.1,12.1,0,w,6,3,17,9,2.3,15.3,8.8,2.1,w*,0,4,-/- (---),E,10,C,C,2,303,,,,,,,,"c-3(0)e3,T-1(pb-0)"
MMN,,"Acosta,M",54,6,51,14,7.1,25.1,17.8,3.5,6,-2,0,28,13,9.7,26.7,25.4,5.2,8,-3,0,"*2-6,11,12/7-10 (15-4)",D,15,D,D,1,,,465,426,423,,,,3b-4e26 2b-4e65 ss-4e23
MMN,,"Conine,G*",79,7,29,11,34.5,45.5,49.8,0,w,-1,0,41,7,16.9,23.9,33,1.6,3,-1,0,"2-10,12/- (3-1)",E,12,D,D,6,,,,,,304,,304,lf-3(-2)e4 rf-3e4
MMN,,"Edwards,X+",561,49,9,7,18.4,26.4,22,0,w,4,6,6,7,31.9,39.9,42.5,1.6,w,4,6,*2-5/- (19-13),A,15,A,C,1,,,108,,424,,,,2b-1e8 ss-4e24
MMN,,"Hernandez,H",256,31,38,18,18.4,38.4,32,2.3,4,7,18,28,13,21.8,36.8,34.3,3,5,7,15,6/11 (13-5),E,11,D,D,1,,,,,,413,,413,lf-4(-1)e13 rf-4e13
MMN,,"Hicks,L*",332,43,10,14,9.8,29.8,12.8,0,w,6,8,7,14,18.9,38.8,22,0.3,0,6,8,2/- (20-6),E,10,C,C,2,401,407,,,,,,,"c-4(+2)e1,T-4(pb-0) 1b-4e7"
MMN,,"Johnston,T*",112,8,50,0,1.8,3.8,1.8,0,w*,0,5,20,5,28.8,35.8,39.1,2.5,3,-10,5,"*2-8,11/9,10,12 (15-8)",D,13,D,D,1,,312,,,,310,,310,1b-3e12 lf-3(+1)e10 rf-3e10
MMN,,"Lopez,O",544,44,10,4,10.9,15.9,11.8,0.3,0,6,13,3,9,23.8,33.8,33.4,2,4,5,12,*4-6/- (17-13),B,14,D,C,1,,,211,,216,,,,ss-2e16 2b-2e11
MMN,,"Marsee,J*",209,22,21,8,29.6,39.7,55.1,2.8,5,8,5,19,12,25.9,39.9,50.5,2.8,w,8,4,*3-7/- (17-15),A,16,D,D,1,,,,,,203,203,203,cf-2(-1)e3 lf-2e3 rf-2e3
MMN,,"Mervis,M*",120,11,58,13,1.4,17.5,5,1,1*,0,2,57,6,6,15,20.6,4.4,8*,0,3,-/- (---),E,8,D,D,1,,407,,,,,,,1b-4e7
MMN,,"Myers,D",307,23,13,12,26.3,39.3,36.7,0.4,0,-2,25,31,4,14.8,19.8,16,0.4,1,-2,28,*4-6/- (19-15),A,14,D,D,3,,,,,,306,306,306,cf-3(-2)e6 rf-3e6 lf-3e6
MMN,,"Norby,C",311,18,33,19,10.9,33,14.2,0.8,1,-3,3,33,0,26.3,29.3,38.5,1.3,3,-4,6,"*4,6/- (18-12)",B,13,D,D,4,,,,417,,,,,3b-4e17
MMN,,"Pauley,G*",161,21,0,13,11.9,25,14.1,0,w,-8,1,22,15,15.5,30.5,26.4,1.1,1,-6,0,3/- (20-6),D,11,D,C,2,,407,404,308,,,,,3b-3e8 1b-4e7 2b-4e4
MMN,,"Ramirez,A",537,36,32,6,12.3,21.3,23.3,3,5,2,19,12,4,18.1,25.1,37.4,3,5,2,19,"*5,6/- (19-13)",A,11,D,B,1,512,,,,,,,,"c-5(+3)e12,T-7(pb-11)"
MMN,,"Sanoja,J",313,19,8,3,18,22,31.4,1,2,5,2,0,5,21.8,27.8,37.4,0.2,0,5,1,*2-9/10-12 (15-9),C,14,C,B,1,,430,208,211,419,302,402,,3b-2e11 2b-2e8 lf-3(-2)e2 cf-4e2 ss-4e19 1b-4e30
MMN,,"Stowers,K*",399,48,18,11,24,37.9,37.4,2.1,w,-14,9,37,12,26.3,41.3,54.5,7.3,8,-11,8,5/- (17-6),C,12,C,D,3,,,,,,302,402,302,lf-3(-3)e2 rf-3e2 cf-4e2
MMN,,"Wagaman,E",476,32,18,3,28.8,31.8,46.9,1.8,3,-1,18,17,7,18.7,25.7,33.1,2.8,w,-1,17,5/- (16-6),D,10,D,C,1,,317,,531,,407,,407,1b-3e17 lf-4(+2)e7 rf-4e7 3b-5e31
MMN,,"Wiemer,J",55,2,60,0,17.9,24.9,50.6,8.1,8,0,0,55,0,17,24,24.5,2.5,5,-2,0,-/- (---),E,15,D,D,1,,,,,,204,,204,rf-2(-2)e4 lf-2e4
MLN,,"Bauers,J*",183,32,49,17,13.4,32.4,15,0,w,-9,0,34,21,16.4,39.3,28.1,2.6,3,-7,0,"*4,6/- (19-13)",B,13,D,D,3,,207,,,,416,,416,1b-2e7 lf-4(0)e16 rf-4e16
MLN,,"Chourio,J",549,30,25,6,39,46,60.9,3.5,6,-6,18,19,2,22.6,25.6,38.5,2.3,3,-6,20,*3-6/- (18-13),A,16,C,C,1,,,,,,203,303,203,cf-3(-2)e3 lf-2e3 rf-2e3
MLN,,"Collins,I+",372,57,22,13,16.3,32.3,29.8,1.5,2,1,14,22,21,24,48,31,0.1,0,1,12,"*2-6,12/- (17-13)",A,15,B,C,1,,,414,441,,308,,408,lf-3(-1)e8 rf-4e8 2b-4e14 3b-4e41
MLN,,"Contreras,W",566,84,16,21,17.1,39.2,20,0.3,0,0,15,16,18,22.3,41.3,32.3,1.8,3,0,15,"4,5/12 (13-6)",C,11,D,B,1,205,530,,,,516,,,"c-2(-3)e5,T-3(pb-2) 1b-5e30 lf-5(+2)e16"
MLN,,"Durbin,C",445,30,0,3,22.3,36.3,28.7,1.8,2,-4,16,0,6,22.6,39.6,32.6,1,0,-4,14,"*2-5,11,12/- (18-14)",A,15,C,C,1,,,434,308,442,,,,3b-3e8 2b-4e34 ss-4e42
MLN,,"Frelick,S*",528,47,4,5,34.6,42.6,37.6,0,w,-3,3,6,9,27.3,39.3,35.8,1.5,2,-2,3,"*2-5,12/- (17-12)",B,15,B,C,1,,530,,537,,,204,104,rf-1(-2)e4 cf-2e4 1b-5e30 3b-5e37
MLN,,"Haase,E",70,4,65,0,4.6,10.6,11.6,2.3,4,4,8,59,5,24.1,35.1,33.9,0.6,1,4,6,-/- (---),E,12,D,D,2,401,,,,,,,,"c-4(0)e1,T-9(pb-1)"
MLN,,"Hoskins,R",279,38,34,20,11.6,35.5,23.8,3,4,1,12,38,15,17.4,36.4,28.4,2.4,4,1,10,"4,5/- (13-6)",D,9,D,D,5,,411,,,,,,,1b-4e11
MLN,,"Lockridge,B",134,8,30,4,21.1,27.1,35.7,0,w,0,10,30,4,18.7,24.7,19.5,0,w,0,10,*3-6/- (19-15),A,17,B,D,2,,,,,,208,208,208,lf-2(-2)e8 cf-2e8 rf-2e8
MLN,,"Mitchell,G*",68,7,29,11,13.1,27.1,13.1,0,w,1,0,53,10,14.9,27.9,32.3,0,w*,0,0,*5/- (20-13),B,17,B,D,6,,,,,,,201,,cf-2(-2)e1
MLN,,"Monasterio,A",126,7,19,14,23.1,40.1,38.8,2.8,4,-2,2,30,0,28,31,41.3,1.3,1,-3,4,"*2-5,11,12/- (15-11)",D,13,D,D,1,,425,408,430,307,514,,,ss-3e7 2b-4e8 3b-4e30 1b-4e25 lf-5(+2)e14
MLN,,"Ortiz,J",470,27,7,0,33,34,53.4,3.3,w,-4,18,8,6,15.3,22.4,24.4,3,w,-4,16,*2-5/- (19-13),B,15,C,B,1,,,,,210,,,,ss-2e10
MLN,,"Perkins,B+",155,15,28,15,20.9,36.9,30.6,2.3,4,4,16,39,6,14.5,21.5,27.9,1.8,w,4,19,"*2-5,12/- (19-13)",B,15,D,D,5,,,,,,,104,,cf-1(-3)e4
MLN,,"Seigler,A*",62,8,25,0,9.8,12.8,9.8,0,w,4,24,24,16,9.8,28.8,9.8,0,w,4,19,*4/- (20-12),C,13,C,D,1,402,425,,422,,,,,"3b-4e22 c-4(+1)e2,T-6(pb-20) 1b-4e25"
MLN,,"Turang,B*",584,66,22,9,34,44,37.9,0.6,0,5,0,26,13,25,38.9,36.8,2,3,5,0,"*2-5,12/- (18-13)",A,16,A,C,1,,,110,,388,,,,2b-1e10 ss-3e88
MLN,,"Yelich,C*",573,64,34,9,20.8,31.8,26.8,1,1,6,5,31,11,21.2,34.2,37.2,4.8,8,6,4,"*2-5,12/- (17-12)",B,16,D,B,1,,,,,,409,,,lf-4(+1)e9
MLN,,"Jansen,D",288,42,36,29,8.3,40.3,19.4,3,5*,0,8,28,13,12.2,28.2,23,3,5,-6,12,-/- (---),E,10,D,B,2,302,,,,,,,,"c-3(+1)e2,T-8(pb-0)"
MLN,,"Vaughn,A",406,31,6,15,30.4,47.4,43,1,1,-5,19,18,4,19,25,30.5,2.5,4,-5,22,-/- (---),E,9,D,B,1,,308,,,,,,,1b-3e8
MNA,,"Buxton,B",488,41,18,9,27.8,39.8,72.9,11.1,8,2,0,40,6,18.5,27.5,44.3,6.2,8,2,0,"*5,6/- (20-13)",A,17,D,D,2,,,,,,,103,,cf-1(-1)e3
MNA,,"Gasper,M+",95,10,27,14,7.3,27.3,7.8,0,w,4,4,10,8,2,16,6.8,1.6,2*,0,5,*4/- (20-6),C,10,D,C,2,415,407,471,,,516,,,"c-4(+2)e15,T-5(pb-0) 1b-4e7 2b-4e71 lf-5(+1)e16"
MNA,,"Jeffers,R",406,50,10,32,24.9,59.9,37.1,2.7,w,-4,10,21,7,21.9,31.9,33.5,1,1,-5,15,4/12 (13-5),E,10,D,D,3,301,,,,,,,,"c-3(0)e1,T-9(pb-1)"
MNA,,"Julien,E*",182,22,42,6,23,31,42.1,1.3,2,-5,11,38,15,13.2,30.2,23.5,2.5,w,-6,9,2-12/- (3-1),E,10,D,D,1,,416,415,,488,,,,1b-4e16 2b-4e15 ss-4e88
MNA,,"Keaschall,L",182,19,26,1,6.1,13.1,11.4,0.2,0,0,16,0,16,39.3,61.3,52.8,0.8,1,-3,13,*4-6/- (19-15),A,15,D,C,5,,,324,,,,,,2b-3e24
MNA,,"Keirsey,D*",84,2,55,0,0,3,0,0,w*,0,8,55,0,1.6,4.6,6.4,1.6,2*,0,8,*3-7/- (18-15),A,16,D,D,1,,,,,,303,303,203,cf-3(+1)e3 rf-2e3 lf-3e3
MNA,,"Larnach,T*",503,53,29,8,20.9,30.9,31,1.8,w,-6,22,21,10,20.7,32.7,31.4,2.3,4,-6,25,"4-6/11,12 (13-6)",D,11,D,B,1,,,,,,401,,401,rf-4(+2)e1 lf-4e1
MNA,,"Lee,B+",487,31,20,0,25.1,27.1,31.1,2,2,3,18,11,5,14.4,21.5,22.1,2,3,3,17,4/- (15-6),D,11,D,C,2,,,423,303,414,,,,ss-4e14 3b-3e3 2b-4e23
MNA,,"Lewis,R",376,25,15,8,17,25,27.5,2.3,4,6,14,20,4,18,22,29.7,2.3,3,6,15,*2-5/- (19-13),B,13,D,D,4,,,,312,,,,,3b-3e12
MNA,,"Martin,A",156,22,13,10,36.7,47.7,47.8,0.4,0,-10,25,13,22,21.4,44.3,26.5,0,w,-9,22,*3-6/- (18-14),A,14,C,D,1,,,450,,,301,401,,lf-3(+1)e1 cf-4e1 2b-4e50
MNA,,"Pereda,J",69,8,50,10,19.9,29.9,24,0,w,-8,9,26,16,20.4,36.3,35.3,0,w,-3,8,-/- (---),E,8,D,D,2,409,,,,,,,,"c-4(+1)e9,T-20(pb-1)"
MNA,,"Roden,A*",136,8,0,17,3.1,29.1,12.4,3.1,6*,0,0,34,0,11.8,20.8,24.5,1.8,w,-2,0,4-6/10 (13-6),E,13,D,C,4,,,,,,304,404,304,lf-3(-1)e4 rf-3e4 cf-4e4
MNA,,"Vazquez,C",190,18,18,20,2.4,26.4,2.4,0,w*,0,8,8,6,12.9,22.9,18.1,0.6,1,-7,11,"5,6/10 (13-6)",E,9,D,B,5,201,,,,,,,,"c-2(0)e1,T-1(pb-0)"
MNA,,"Wallner,M*",336,46,17,15,11.1,31,28.4,3.2,6*,0,3,45,16,9.4,30.4,31.9,5.8,8*,0,2,*2-7/10 (15-8),C,12,D,D,4,,,,,,,,407,rf-4(-2)e7
MNA,,"Bride,J",112,11,38,14,8.8,24.8,8.8,0,w,-3,3,50,3,2.2,7.2,2.2,0,w,0,4,-/- (---),E,11,D,D,1,,407,406,416,,,,,3b-4e16 1b-4e7 2b-4e6
MNA,,"Clemens,K*",348,29,32,6,12.6,21.5,13.3,0,w,-6,6,27,6,12.1,21.1,38,6.4,8,0,6,*6/- (19-11),C,13,C,D,1,,301,410,,,404,,404,1b-3e1 2b-4e10 rf-4(+1)e4 lf-4e4
MNA,,"Outman,J*",134,12,65,6,1.4,10.4,5.5,1.4,2*,0,0,68,8,4,15,15.4,3.8,6*,0,0,3/- (20-6),E,15,D,D,1,,,,,,204,304,204,cf-3(-1)e4 lf-2e4 rf-2e4
NYA,,"Bellinger,C*",588,57,0,14,38.3,53.3,62,4,6,3,8,10,7,18.3,26.3,30.4,3,5,3,9,"*4,5/- (19-12)",B,15,D,C,1,,207,,,,103,303,203,lf-1(-3)e3 rf-2e3 cf-3e3 1b-2e7
NYA,,"Caballero,J",314,47,37,21,17.7,40.7,33.8,2,3,0,0,30,19,15.9,36.8,23,0.8,w,0,0,"*2-7,9/- (19-16)",AA,17,A,C,1,,,250,212,217,406,406,406,ss-2e17 rf-4(-1)e6 2b-2e50 3b-2e12 lf-4e6 cf-4e6
NYA,,"Cabrera,O+",107,11,17,2,30.9,36.8,30.9,0,w,-8,4,22,11,18.5,33.5,28,2,w,-8,3,2-8/- (3-1),E,12,D,C,5,,323,,327,,302,,302,3b-3e27 1b-3e23 lf-3(-1)e2 rf-3e2
NYA,,"Chisholm,J*",462,58,23,8,21.9,32.8,33.1,3.8,5,-14,2,39,16,14,33,32.3,5.6,8,-5,0,"*2-6,12/- (19-15)",AA,16,C,D,3,,,220,437,,,,,2b-2e20 3b-4e37
NYA,,"Dominguez,J+",381,41,46,10,13.6,25.6,24.8,2,w,-4,8,29,11,25.8,38.8,34.4,1.8,1,-5,8,*4-6/- (19-14),A,15,D,D,1,,,,,,404,,,lf-4(-1)e4
NYA,,"Escarra,J*",84,11,29,5,12.6,20.6,22.1,0,w,4,7,3,16,10.3,29.3,19.1,1.1,1,4,6,3/- (20-6),D,10,D,C,5,315,405,,513,,,,,"c-3(+2)e15,T-5(pb-0) 1b-4e5 3b-5e13"
NYA,,"Goldschmidt,P",489,36,0,7,36.3,45.3,59.2,3.2,5,-3,11,23,4,23.2,29.2,34.1,1.8,w,-3,12,4/- (17-6),C,11,D,C,1,,207,,,,,,,1b-2e7
NYA,,"Grisham,T*",494,82,30,20,6.8,28.8,18,3.8,6*,0,8,25,21,16,39,31.9,5.3,8,-8,8,6/- (13-6),D,11,D,C,1,,,,,,,203,,cf-2(0)e3
NYA,,"Judge,A",541,124,35,14,34.3,51.3,89.3,16.5,8,-9,6,23,24,29.1,56.1,59.3,8,8,-12,12,"*5,6/- (16-11)",B,13,D,D,1,,,,,,,,202,rf-2(+1)e2
NYA,,"Lemahieu,D",128,14,34,21,15.8,36.8,15.8,0,w,-3,16,25,9,29.6,38.6,34.2,0.8,1,-4,23,-/- (---),E,9,D,D,4,,,303,,,,,,2b-3e3
NYA,,"Rice,B*",467,50,33,9,12.7,25.7,35.2,4.5,7*,0,25,12,11,21.8,36.8,39.7,3.3,6,-8,24,"4,5/12 (13-6)",D,11,D,D,1,407,412,,,,,,,"1b-4e12 c-4(+1)e7,T-6(pb-8)"
NYA,,"Slater,A",148,11,40,10,15.3,25.3,27.1,2.7,5,-8,27,50,2,14.5,16.5,28.1,0.8,1,-1,27,2/- (20-6),E,12,C,D,5,,425,,,,310,410,310,rf-3(-1)e10 lf-3e10 1b-4e25 cf-4e10
NYA,,"Stanton,G",249,29,41,20,20.9,41.9,43.4,6.4,8,-5,9,52,9,23,33,61.5,12.7,8,-5,8,-/- (---),E,8,D,D,5,,,,,,511,,511,rf-5(0)e11 lf-5e11
NYA,,"Vivas,J*",56,5,10,10,0,21,0,0,w*,0,0,21,6,5.2,22.2,8.1,0.2,0,-1,0,-/- (---),E,12,D,C,1,,,410,424,,,,,2b-4e10 3b-4e24
NYA,,"Volpe,A",539,43,27,9,22.5,33.5,36.4,1.2,1,-4,13,32,7,10.9,19.9,25.7,2.2,4*,0,15,"*2-6,12/- (17-14)",B,15,C,C,1,,,,,221,,,,ss-2e21
NYA,,"Wells,A*",401,30,28,4,15.5,22.5,33.5,3.6,6,6,18,35,6,11.6,20.7,28.2,3.4,6,6,19,*5/- (19-6),C,11,D,C,2,203,,,,,,,,"c-2(-1)e3,T-2(pb-1)"
NYA,,"McMahon,R*",509,70,42,12,9.9,23.9,12.7,0.8,0,-7,8,46,17,12.3,31.3,25.8,3,4,-3,6,4/- (15-6),D,12,C,C,1,,,,111,,,,,3b-1e11
NYA,,"Rosario,A",181,7,4,0,32.7,34.7,52.2,2.4,3,6,25,23,0,18.3,20.3,23.7,1.8,3,6,26,2/- (20-6),E,14,D,C,1,,,323,425,420,,,406,3b-4e25 2b-3e23 rf-4(+1)e6 ss-4e20
NYN,,"Acuna,L",175,13,29,12,17.4,31.4,22.1,0,w,-9,22,12,4,22.5,28.5,24.3,0,w,-10,25,"*2-5,12/- (19-14)",A,17,C,C,1,,,206,337,320,,409,,2b-2e6 ss-3e20 3b-3e37 cf-4(+2)e9
NYN,,"Alonso,P",624,61,41,7,15.4,27.4,30.1,3.8,5,-5,23,19,10,25.7,40.7,49,4.8,8,-7,20,6/8 (13-3),E,10,D,B,0,,410,,,,,,,1b-4e10
NYN,,"Alvarez,F",246,27,21,24,19.9,46.8,49.9,3.8,5*,0,13,36,10,21.8,34.8,31.4,2.8,4,-11,14,-/- (---),E,10,D,D,5,407,,,,,,,,"c-4(0)e7,T-10(pb-3)"
NYN,,"Baty,B*",393,33,24,2,24,27,33,3,5,-7,11,32,8,21.9,30.9,34.3,3,6,-6,10,*5/- (20-11),B,12,D,D,1,,,308,315,,,,,3b-3e15 2b-3e8
NYN,,"Lindor,F+",644,65,5,11,16.8,32.8,22.2,1.8,3,-3,8,20,8,25.1,38.1,44.2,3.8,7,-3,8,"*2-5,12/- (19-13)",A,14,B,C,1,,,,,214,,,,ss-2e14
NYN,,"Marte,S",293,22,20,7,23.2,36.2,32.6,1.5,2,-3,17,22,6,26,38,34.4,1.6,2,-3,17,"*4,5/- (18-12)",B,13,D,C,2,,,,,,404,,404,lf-4(0)e4 rf-4e4
NYN,,"Mauricio,R+",168,15,55,3,0,4,0,0,w*,0,23,36,8,24.7,33.7,37.2,3,5,-10,22,*6/- (20-11),C,12,D,D,4,,,359,315,434,,,,3b-3e15 2b-3e59 ss-4e34
NYN,,"McNeil,J*",399,49,7,20,17.8,41.8,33.8,1.8,w,3,6,0,9,19.2,32.2,32.3,1.8,3,3,7,2/- (20-6),D,12,D,B,2,,425,312,,,305,405,305,2b-3e12 cf-4(+1)e5 lf-3e5 rf-3e5 1b-4e25
NYN,,"Nimmo,B*",587,50,27,4,25.1,32.1,34.3,3,6,-3,9,21,8,23.4,34.3,37.5,2.8,4,-3,9,*5/- (19-11),B,14,D,C,1,,,,,,301,401,,lf-3(+1)e1 cf-4e1
NYN,,"Senger,H",72,3,57,0,4.6,7.6,4.6,0,w,4,30,32,0,11.2,14.2,11.2,0,w,4,31,-/- (---),E,9,B,D,2,214,,,,,,,,"c-2(-1)e14,T-1(pb-1)"
NYN,,"Soto,J*",577,127,26,20,17.8,38.8,32.3,4,7,-8,17,13,29,19.5,49.5,45.2,8.2,8,-7,15,*2-5/- (19-13),AA,13,C,C,1,,,,,,,,401,rf-4(-1)e1
NYN,,"Taylor,T",310,16,16,9,12.9,27.9,16,0,w,9,7,28,0,17.7,23.7,35.4,1.8,w,10,8,"*2-5,12/- (19-13)",B,15,C,D,2,,,,,,104,104,104,cf-1(-3)e4 lf-1e4 rf-1e4
NYN,,"Torrens,L",261,19,25,0,22.6,24.6,39.5,0,w,2,21,16,9,15.6,26.6,23,1.4,1,2,18,2/- (20-6),E,10,D,D,2,209,407,,,,,,,"c-2(-4)e9,T-3(pb-2) 1b-4e7"
NYN,,"Vientos,M",424,30,25,2,22.5,26.5,41.6,2.6,4,-7,18,32,7,16.9,25.9,28,2.6,4,-8,19,2/- (20-6),E,10,D,D,2,,409,,421,,,,,3b-4e21 1b-4e9
NYN,,"Winker,J*",70,9,56,0,11.5,11.5,18.6,0,w,4,10,33,13,19.3,32.3,47.3,2.8,w*,0,8,3/- (20-6),D,11,D,D,6,,,,,,405,,,lf-4(0)e5
NYN,,"Mullins,C*",435,50,9,17,20.1,39.2,32.2,1.5,1,-2,0,35,11,10.7,23.6,23.6,2.8,3,-1,0,"*2-5,12/- (19-14)",A,15,A,D,1,,,,,,,204,,cf-2(+1)e4
SAA,,"Bleday,J*",307,36,26,6,18.3,24.3,33.5,3.6,5,-4,15,35,13,9.8,22.8,23.7,2.6,5,0,15,"5,6/8,9 (13-4)",E,12,D,C,1,,,,,,408,408,408,cf-4(-2)e8 rf-4e8 lf-4e8
SAA,,"Brown,S*",65,9,53,0,0,6,0,0,w*,0,23,39,18,10.3,34.3,19.9,2.8,w,-5,17,3/- (20-6),D,13,D,D,1,,,,,,308,408,408,lf-3(+1)e8 cf-4e8 rf-4e8
SAA,,"Butler,L*",569,59,55,2,10.5,12.5,22.5,2.3,4,-2,8,32,13,19.3,32.3,31.1,2,3,-8,6,"*2-5,11,12/- (18-13)",A,14,C,D,1,,,,,,,302,302,rf-3(0)e2 cf-3e2
