Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"JJ Goss","TBR","SP","R",,16,,"45+",2024,"High","20.1444444","6' 3""","185","R","R",2019,"Draft","TBR",2045000,"Cypress Ranch HS (TX)","It appears as though Goss has had a pretty significant spin rate spike. Both before the 2019 draft (data collection that occurred on the showcase circuit) and after, his fastball and the better of his two breaking balls spun at 2250 rpm and 2050 rpm, respectively. But as I called around to see if Rays stuff had changed based on 2020 data, Goss came up. His fastball now spins at a whopping 2600 rpm while his breaking balls are spinning closer to 2400. He's also throwing his fastball a little bit harder and his changeup now has much more velocity and rests in the upper-80s. Boots-on-the-ground scouts who saw instructs echoed the sentiments of the amateur arm of the industry from before Goss was drafted: he can really pitch. He was a low-90s (touching mid-90s) changeup/command high schooler whose breaking balls relied on Goss' deceptive slot to play, but his stuff has improved without detracting from his pitchability. Pro scouts now think the breaking ball has a chance to be plus. This is a 2021 breakout candidate. <em>(Fall Instructional League)</em>",,"sa3011420"
"Austin Hendrick","CIN","RF",,,5,,"45+",2024,"High","19.6722222","6' 1""","195","L","L",2020,"Draft","CIN",4000000,"West Allegheny HS (PA)","The Reds have taken several old-for-the-class high schoolers over the last few years and the most recent (and most talented) is Hendrick. It is somewhat concerning that Hendrick was not only older than most of his elite high school peers on the 2020 Draft showcase circuit but that he was older and still swung and missed a lot during that stretch. This, combined with his corner outfield defensive projection, makes him a prospect of extreme variance and risk since he'll need to really rake to be an everyday player. But he also tinkered with his swing during that pre-draft summer and at times it had ridiculous length and noise it's unlikely to once he has received pro instruction for a while. Plus, he was coming from Western Pennsylvania varsity ball, which is not nearly as good as that in the Southeast, Texas or California, which is where most of his opponents were from during the 2020 process. Let's also not lose sight of Hendrick's ability. He was the most explosive rotator in the entire 2020 class (and it really wasn't close) regardless of demographic, and carried among the biggest raw power projections because of his big, square-shouldered frame. He needs reps against good pitching, and time to adjust to what will likely be some initial failure. He got his first exposure to it during instructs and responded pretty well. He'll stay in the 45+ FV tier along with similar high-variance and high-risk prospects until he builds a statistical foundation in pro ball. <em>(Fall Instructional League)</em>","ZBiRPVgPvHQ","sa3014521"
"Jonathan India","CIN","3B","AA",,7,,"45",2021,"Med","24.1722222","6' 0""","200","R","R",2018,"Draft","CIN",5297500,"Florida","The Reds opted in to the data and video sharing agreement from the alternate sites, and without a summer of games to see, pro scouts spent a lot of time parsing and writing reports off of video in 2020. These evaluations are especially important drivers for my opinion regarding India, who was coming off a nagging wrist injury that impacted his performance and ultimately ended his 2019 season (a lat issue ended his 2020). I've been a fairly staunch India skeptic, pointing to his draft year campaign as the anomaly among seasons of otherwise pedestrian output. There's renewed scout confidence in India's bat, at least from a contact perspective. He squared up the player pool pitching at Prasco Park pretty well but the exit velo data from the site is middling, at least at the top end of India's exit velocities. He also may not throw well enough to play third base, or have the range to play second, so I think there's increased risk that he ends up spending most of his time in left field, and I don't think he will have the power to profile as an everyday player there. But I think he might accidentally back into some prized defensive versatility by virtue of the Reds trying him all over the field, and end up playing a valuable multi-positional -- but ultimately bat-centric -- role. He just turned 24 and still hasn't had meaningful at-bats above A-ball. <em>(Alternate site)</em>","KPK-GaBvm6U","sa3008178"
"Tyler Callihan","CIN","2B","R",,8,,"45",2024,"Med","20.6527777","6' 1""","215","L","R",2019,"Draft","CIN",1500000,"Providence HS (GA)","Those who observed Callihan in the Fall of 2020 echoed reports from his amateur days: he can really swing the bat but has no clear defensive position. He mostly played third base in high school, but there were some pre-draft calls for him to catch, and the Reds gave him post-draft reps at second and continued doing so during the Fall of 2020 since they wanted to give Rece Hinds as many opportunities at third as possible. I've gotten mixed reviews on how his glove looked at second, including some positive thoughts from outside the org. There's also a chance he's eventually a first baseman; for now I have him projected as a below-average second baseman. 
But the bat is the carrying tool here. Callihan was one of the most polished high school hitters in the 2019 class, and performed against his elite peers on the showcase circuit. There was some merited skepticism surrounding his ability to sustain that in pro ball since Callihan was among the older high schoolers in that class, but now that he's performed against more refined pro arms for over a year and is generating the same reports, it's fair to be more confident in the stick. If he can stand at second then there's much less need to alter Callihan's swing to increase his power output. <em>(Alternate site from mid-September on, Fall Instructional League)</em>","B4jwRRO_4sw","sa1169610"
"Rece Hinds","CIN","RF","R",,9,,"45",2024,"High","20.45","6' 4""","220","R","R",2019,"Draft","CIN",1500000,"IMG Academy HS (FL)","Hinds is quite similar to a pre-draft Bobby Dalbec: a huge-framed power bat with a 70 arm, but big swing-and-miss risk. Hinds has improved as a defender. His arm is an antidote for some of what he lacks in flexibility and range, and he can make a subset of plays at third base pretty well. On hotshots and anything that requires him to bend or vary the pace of his footwork, he struggles. I wrote him up as a right fielder last year, and I still think either that or first base are his ultimate destinations, but he's upped his chances of staying at third in the last year and it's important to note things are moving in that direction. The hit/power strengths and weaknesses looked the same during instructs. Hinds had the best raw power in the 2019 high school class (so ridiculous he hit a broken bat homer during instructs) but struck out a lot in the showcase setting. He has fair barrel control but stuff on the inner half ties him up due to length in his swing, especially when he tries to get the barrel to something down, and that length and middling breaking ball recognition drive the swing and miss issues. The corner fit and strikeout issues ordinarily place a prospect like this in the 40+ FV tier while they're in the lower levels, but I like some of the underlying hitting elements and the way he's worked to stay alive at third enough to slide him into the tier above that. <em>(Alternate site from mid-August on, Fall Instructional League)</em>","SXH2anSONig","sa1169587"
"Wilman Diaz","LAD","SS",,,9,,"45",2025,"Med","17.2555555","6' 0""","165","R","R",2021,"J2","LAD",2750000,"Venezuela","His frame isn't as angular and projectable as the other top-of-the class infielders but Diaz is the best pure hitter among them. While there's not overt power projection on the frame, you can project more future in-game power from Diaz because he's an explosive rotational athlete whose backswing threatens to clip the mask of the catcher behind him. He's arguably a bit safer than some of the other top amateur shortstops in our international rankings because of how he's hit in games.",,
"Michael Siani","CIN","CF","A",,10,,"45",2023,"Low","21.5861111","5' 11""","190","L","L",2018,"Draft","CIN",2000000,"William Penn Charter HS (PA)","Siani is fast and his defensive instincts are excellent, so he has a chance to be one of the better defensive center fielders in baseball at peak. On offense, he creates a lot of infield action (oppo liner pokes and slaps, high infield chops, some bunts) but probably won't grow into relevant power because he's not a great rotator. I have him projected as a low-end regular in center field based on the quality of his defense, but I think he'll end up hitting toward the bottom of a lineup. <em>(Alternate site from mid-September on, Fall Instructional League)</em>","8L-Mdq9jf_E","sa3008182"
"Kody Hoese","LAD","3B","A",,10,,"45",2022,"Med","23.5944444","6' 4""","200","R","R",2019,"Draft","LAD",2740300,"Tulane","Every year, a college player who was draft-eligible the year before takes a sudden leap, performs at an elite level, and forces teams to consider whether there's been a real uptick in his skill or if he's just beating up on familiar competition, in essence repeating a level. Hoese was the 2019 case. After putting up an .803 OPS in his draft-eligible sophomore year (he went in the 35th round and didn't sign), he put up a 1.276 OPS in his junior year, with 23 homers and a 38:30 BB/K ratio. He was handled with care by the Dodgers after he signed, spending a lot of time in the AZL and DH'ing due to wrist and forearm tendinitis. He dealt with more wrist trouble during the spring of 2020 and had just been totally cleared and begun to throw to bases a week before the game shutdown due to COVID-19. He picked up additional reps during Fall Instructional League. 
Hoese's exit velo data was way down in pro ball, something I'm dismissing because of the injury and therefore am excluding from The Board until we get a valid sample (his college avg/max was 88/104, pro was 84/100). He's not tooled up and doesn't have huge raw power, even with a healthy wrist. Instead he's a very athletic swinger with a quick bat, whose swing is geared for airborne contact. That should help him get to power in games even though there's not huge raw. Hoese will need to attain a balanced hit/power combination to profile at third base, but the Dodgers have had internal conversations about trying him in the middle infield (they tried him there a bit during the Fall), which is obviously an easier bar to clear. His already odd, slow developmental track was further warped and flagged by the pandemic, and the soon-to-be 24-year-old has yet to see an at-bat above Low-A. <em>(Alternate site, Fall Instructional League)</em>",,"sa3010021"
"Diego Cartaya","LAD","C","R",,11,,"45",2023,"High","19.4444444","6' 3""","215","R","R",2018,"J2","LAD",2500000,"Venezuela","He's not an advanced receiver, so a large slice of the confidence in Cartaya staying behind the plate is derived from the assumption that we will soon have an automated strike zone. But his run-stopping arm strength and accuracy, as well as his prodigious field general presence, mean he's likely to have a defensive impact. Cartaya is not afraid to backpick runners, which is rare for a catcher this age, especially when the infielders are typically not reliable recipients of such lasers. For such a large catcher, his exchange is very quick and remarkably consistent. He's out of his crouch fast and in one fell swoop, unfurls, releases, and then folds forward, bent at the waist, as the ball sizzles on a line to the base. 
Cartaya is also a balanced, explosive hitter with feel for hitting the ball in the air. He expands the zone a bit too much right now, but he has the physical ability to hit and hit for power, which is rare for catchers and catching prospects. The rate of failure for teenage catchers is high but Cartaya has an All-Star ceiling. <em>(Alternate site, Fall Instructional League)</em>","c-LTwTIlv7s","sa3008742"
"Alex De Jesus","LAD","3B","R",,12,,"45",2024,"High","18.9027777","6' 2""","170","R","R",2018,"J2","LAD",500000,"Dominican Republic","De Jesus signed for $500,000 as a slow-but-graceful big-framed infielder with feel for airborne contact. He became more agile and twitchy between when he signed and his pro debut in the DSL, and it was quickly evident that he was too advanced for that league, so the Dodgers pushed him Stateside, where his swing decisions were poor. Though he's especially adept at impacting balls toward the bottom of the zone, De Jesus has shown other hitter-ish traits early on. He adjusts his posture to alter his bat path depending on pitch location, and I've seen him make in-flight adjustments to breaking balls and wait for them effectively, all at age 17 against older pros in the AZL. 
But he does swing too often and that part needs to get better.The physical tools and body projection (DeJesus body comps to Manny Machado) are exciting, though. DeJesus has seen early-career time at shortstop, when on the day he signed it seemed like a foregone conclusion that he'd only play third base. He may end up back at the hot corner eventually but has a fair chance to stay up the middle. If he does, and he grows into all the raw power I think he will, he could be a star. If he kicks to third base, then hopefully the swing and miss rates from the 2019 season are just a result of him being 17 rather than a sign of things to come. <em>(Dominican Instructional League)</em>",,"sa3008842"
"Miguel Vargas","LAD","1B","A+",,13,,"45",2022,"Med","21.25","6' 3""","200","R","R",2017,"J2","LAD",300000,"Cuba","While Vargas' swing has become less conservative during his time in pro ball, his approach still prioritizes contact, and all the power he generates comes from squaring up the baseball and the strength in his hands and wrists. Athletically, Vargas is on the 3B/1B fringe. It's pretty rare for a player with this type of defensive fit to become a great everyday hitter without generating more power, but the game has a promising, prominent, and recent example in Phillies third baseman Alec Bohm. Because of his frame, Bohm (who was a 50 FV prospect) has better long-term power projection than Vargas (and more present power), but that's what the latter's path to an everyday role looks like. I consider Vargas a high-probability role player similar to Yandy Díaz. <em>(Fall Instructional League)</em>",,"sa3006896"
"Andre Jackson","LAD","SP","A+",,14,,"45",2021,"Med","24.7944444","6' 3""","210","R","R",2017,"Draft","LAD",247500,"Utah","Like many of the prospects in the Dodgers system, Jackson missed time as an amateur due to Tommy John and also entered pro ball under-developed because he played both ways at Utah. Over two pro seasons, Jackson and the Dodgers have expanded his repertoire from two viable pitches to four, including a fastball that has been up to 98 and a hard cutter/slider that has quickly developed into his best pitch. Last year, I rounded his FV down a tad due to his age, though you could argue there are fewer miles on Jackson's arm and that his relative inexperience means he actually has a better chance of holding his stuff into his 30s than that adjustment assumes. Now that he's on the 40-man, and after seeing the need for pitching depth throughout 2020, I've moved Jackson up a tier. <em>(Alternate site, Fall Instructional League)</em>",,"sa829605"
"Zach McKinstry","LAD","2B","MLB",,15,,"45",2021,"Low","25.8","6' 0""","180","L","R",2016,"Draft","LAD",100000,"Central Michigan","He had a significant power production increase last year but McKinstry's big league role is likely tied to his defensive versatility and excellence, especially at second base, where he's a plus defender. As such, he's an internal candidate to assume Kiké Hernandez's role as a multi-positional defensive replacement who occasionally hits for A.J. Pollock and Chris Taylor. His arm is a little light to play shortstop consistently, and the pop for an everyday hitting role likely isn't there, but McKinstry is a major league-ready, high-probability role player. <em>(Alternate site, MLB)</em>",,"19392"
"Lenny Torres","CLE","SP","A-",,10,,"45",2023,"High","20.3388888","6' 2""","190","R","R",2018,"Draft","CLE",1350000,"Beacon HS (NY)","Torres threw just one in-game inning early during Instructional League, then did the rest of his Autumn work in bullpens on the side, which scouts did not have access to. So while I'd love to have found someone who saw his lone outing, I can't, meaning his report is the same as last year's. Torres checked a lot of amateur scouting boxes -- the body, athleticism, stuff, and makeup were all lauded -- and he was a model-friendly prospect due to his age, so while issues with fastball command caused some clubs to project him in relief, he was still a clear top two round talent. Perhaps Torres' fastball command is behind because as a cold-weather amateur prospect, he hasn't pitched all that much. He only threw around 40 innings during his senior spring, and bad suburban high school hitters in New York couldn't catch his fastball. As a result, Torres had little cause to use his changeup during varsity play -- some national evaluators would go whole starts without seeing it -- but it flashed 55 or 60 during his showcase summer and was easy to dream on. 
Perhaps the most striking aspect of Torres' post-draft performance was how regularly he located his slider down and to his glove side. He has mid-rotation components if you're willing to dream based on his athleticism, age, and geographic background, even coming off of a 2019 surgery that, combined with COVID, caused Torres to miss nearly two seasons. <em>(Fall Instructional League...sort of)</em>","oQt2oGijG8Q","sa3008329"
"Angel Martinez","CLE","SS","R",,11,,"45",2023,"High","19.0694444","6' 0""","165","S","R",2018,"J2","CLE",500000,"Dominican Republic","I wrote last year that among the many notable teenage infielders in this system, Martinez's speed and twitch give him the group's best chance to stay up the middle of the diamond. That sentiment was again trumpeted by scouts who saw the huge Cleveland Instructional League contingent in Arizona in the Fall. (You should notice that group has begun to striate throughout the system rather than be grouped together.) Martinez is a bit tightly wound but has the requisite footwork, hands, actions, and arm strength to play shortstop. I think it's possible the lack of bend/flexibility becomes more evident as he adds muscle, which may push him to center field. What's most exciting about Martinez, though, is how advanced and potent both of his swings are for a teenage switch-hitter. He's a shorter-levered guy, so both cuts are relatively short, which helps aid his bat-to-ball ability. The wrists drive what is currently doubles power (because of his speed, there are some triples too), both in raw pop and approach. He has a pull-oriented approach as a righty hitter, and while Martinez can lift balls down-and-in as a lefty, his swing is mostly geared for all-fields line drive contact from that side. 
This hitting style and Martinez's relatively modest physical projection (he's already a pretty ripped 6-feet) make me think the ultimate home run totals will be low but that he will still slug. He has catalytic qualities on offense and a chance to play a premium defensive position. <em>(Alternate site, Fall Instructional League)</em>",,"sa3008762"
"Ethan Hankins","CLE","SP","A",,12,,"45",2023,"High","20.7333333","6' 6""","215","R","R",2018,"Draft","CLE",2246022,"Forsyth Central HS (GA)","Hankins had a strong showing on paper and video at the alt site, then looked visibly excellent in the Fall, appearing a little more svelte and really turning over an improved, power sink upper-80s changeup. His best two pitches remain his fastball, which several scouts saw up to 96 (I have him sitting 91-96, and 93-96 in separate outings), and a sharp mid-80s slider, which routinely shows plus. He also has a 12-to-6 curveball he can backdoor for strikes. It's a starter's toolbox of pitches, and Hankins will be a mid-rotation option should his velocity and slider bite, which have waxed and waned a bit during his time on the prospect radar, continue to look like they did in 2020. <em>(Alternate site, Fall Instructional League)</em>","UxRnkfMPC7g","sa3008589"
"Sam Hentges","CLE","SIRP","AA",,13,,"45",2021,"Med","24.5805555","6' 8""","245","L","L",2014,"Draft","CLE",700000,"Mounds View HS (MN)","Hentges spent 2020 at the alternate site, so his report remains the same. He had a disappointing 2019, his second full year since coming back from a 2017 Tommy John, but he has all the characteristics of a prospect who needs a long developmental runway and I still have him projected as an impact piece, even if that's in the bullpen. Now two inches taller then when he signed, Hentges is a huge-framed 6-foot-8, comes from a cold-weather location (he's not even the most famous Sam Hentges from Minnesota, as another is a hockey prospect for the Wild), played both ways as an amateur, and lost a year of development to surgery. That he's still raw at age 24 really isn't all that surprising, nor do I find it particularly concerning, though admittedly some of that confidence comes from knowing how hard Hentges was throwing in his big league outings this spring before the shutdown. In those brief outings, Hentges was living in the 96-99 range after sitting 92 (peaking at 96) last year. Cleveland did not baby his innings after he returned from TJ and perhaps 2019 was a bit of a stuff hangover year for him. If he holds this new velo, even if he only does so out of the bullpen, that kind of fastball and Hentges' breaking ball are enough to make him a big time relief piece. He has crude changeup feel and it seemed to be a focus for him during his spring outings. There's still a chance that comes along (remember, this guy has all the late bloomer traits) and Hentges can start, but the (healthy) floor of a lefty reliever who throws as hard as he does is still exciting even if he can't. <em>(Alternate site)</em>",,"sa828881"
"Owen Miller","CLE","SS","AA",,14,,"45",2021,"Low","24.2555555","6' 0""","190","R","R",2018,"Draft","SDP",500000,"Illinois State","Part of the Mike Clevinger return from the Padres, Miller is the latest in a long line of small, physically generic Midwestern college infielders who it turns out can really hit. A minimalistic swing enables him to make high rates of contact, while the strength in Miller’s hands generates doubles power. It’s not an exciting, athletic style of hitting but on an inoffensive, fundamentally sound defensive shortstop, it’s a pretty interesting skillset. Barring a significant swing change, Miller’s offensive output will likely cap his ceiling near the 45 FV range, but for a third round pick who moves quickly, that’s a great outcome. 
Miller is arguably polished enough to play in the big leagues in 2021, and with Cleveland's infield situation very touch and go with Cesar Hernandez leaving and Francisco Lindor primed to be traded, he may need to. If Cleveland ends up with a one-year stopgap, Miller doesn’t have to be put on the 40-man until December of next year, so even though he’s a polished hitter with upper-level experience and could feasibly be called upon to provide above-replacement-level reps in the event that Cleveland’s middle infield is beset by injury, he doesn’t have to occupy a valuable 40-man spot until it is absolutely necessary. <em>(Alternate site, Fall Instructional League)</em>","vTrfrO-oxJ8","sa3006673"
"Carlos Vargas","CLE","SIRP","A-",,15,,"45",2023,"High","21.3444444","6' 3""","180","R","R",2016,"J2","CLE",275000,"Dominican Republic","Cleveland did indeed put Vargas on their 40-man this offseason, a move that last year I would have guessed had coincided with him moving to the bullpen, where his control/command fit at the time. But based on scouts' looks in the Fall, Vargas' arm action has shortened up (the shift looks similar to Lucas Giolito's) and though I don't consider it likely yet, he's increased his chances of remaining a starter in the eyes of the industry. For the last couple of years, Vargas has been electric at times and maddening at others. I saw him up to 101 on the backfields in 2018 when his outings were between two and four innings in length, then he pitched at mostly 93-97 as a more traditional starter in 2019. During both years, Vargas' command was very spotty. And despite the velocity, he only generated a 7% swinging strike rate with the heater because it has tailing/sinker shape more adept at inducing weak contact than swings and misses. For him to have a real impact heater, I thought Vargas would need to move to the bullpen where he could sit 97-plus the whole time and rely on sheer velocity to miss bats, but now that his arm action has changed that may not be the case. The alteration may have an impact on literally everything about him -- his breaking ball quality, his command, his fastball shape -- and so far it seems to have already improved the demarcation between his two- and four-seamers. We won't truly know until Vargas starts pitching in actual games, but it's instructive that Cleveland added him to their 40-man rather than Luis Oviedo, who had similar issues and was also given a shorter arm action before the club lost him in the Rule 5 draft. <em>(Fall Instructional League)</em>","fu527xI4SS0","sa3007467"
"Daniel Johnson","CLE","RF","MLB",,16,,"45",2021,"Med","25.6","5' 10""","185","L","L",2016,"Draft","WAS",325000,"New Mexico State","Does it tell us anything about Johnson's prospects that Cleveland was not willing to give him an extended look in their outfield even though they had one of the least productive jardinero groups in baseball? Johnson will come to spring training poised to compete with Bradley Zimmer, Jake Bauers, Josh Naylor and perhaps Nolan Jones for corner outfield starts against right-handed pitching. He is as tooled-up as any of those players, so gifted that at various points during his minor league career, some scouts and front office personnel have projected him (he was drafted by Washington and traded for Jefry Rodriguez) as an everyday player. The loudest of those tools is Johnson's arm strength, followed by his speed and then, to a lesser extent, above-average raw power that manifests as doubles in games because his swing really only enables home run power to his pull side. Johnson has a career .284/.344/.460 line in the minors and has never produced a batting line below league average as a pro. So given the tools and performance, why isn't he higher on this list? I think big league arms will be able to pitch to him in a way that limits his power output below the corner outfield average and that Johnson's relative lack of defensive instincts make him more of a fit in right field than in center. At one point Johnson was so raw as a hitter that some scouts wanted to see him on the mound, leading me to I hope there would be late development in some of these areas, but now that Johnson is 25, I think he's likely to settle in as a platoon bat. <em>(Alternate site, MLB)</em>","_vyB942sM98","19643"
"Joey Cantillo","CLE","SP","A+",,17,,"45",2022,"Med","21.1638888","6' 4""","220","L","L",2017,"Draft","SDP",302500,"Kailua HS (HI)","He was a Pick to Click of mine last offseason, but Cantillo hasn't added any fastball velocity (he sat 87-89 in the Fall), so I can't justify moving him into the Top 100 this offseason. I still think, even at a lesser velocity, Cantillo's fastball will play fine because of its flat angle and the big carry created by how perfectly it backspins, but it needs to become at least a low-90s offering to have a shot to dominate (like Colin Poche's fastball). It behooves Cantillo to add power to his breaking ball as well. Though it only needs to function as a pitch he can flip into the zone for a strike once in a while, it's currently bending in at about 70 mph and that gives hitters too much time to adjust to it in mid-air. But Cantillo's money pitch is his changeup, and his ability to locate it in consistently enticing areas. He's still just 21 and his new org has a history of helping pitchers add velo, and for getting the most out of changeup/command pitchers, but until we see a velocity spike I'll have Cantillo in the 45 FV tier. <em>(Alternate site)</em>",,"sa3005246"
"Miguel Hiraldo","TOR","3B","A",,9,,"45",2022,"Med","20.45","5' 11""","170","R","R",2017,"J2","TOR",750000,"Dominican Republic","After his dominant 2018 in the DSL, the Blue Jays pushed the physically mature Hiraldo right past the GCL and sent him to the Appy League at age 18; there he hit .300/.348/.481 with 28 extra-base hits in 56 games. He has a short, high-effort swing, and his hands load high and take a curt, direct path to the ball with plus bat speed that Hiraldo generates with effort and violence. It's a swing-happy, pull-heavy approach to contact that would ideally become more polished, but there's rare bat speed and vertical plate coverage here, so Hiraldo has a talent-based shot to both hit and hit for power. Like Moreno, he also had a fairly relevant uptick in his high-end exit velocities in the Fall, on par with what Riley Adams was capable of in 2019, now tied for the highest in the system.
Hiraldo is stocky and strong in general, let alone for his age, and even though he's playing lots of shortstop right now, I think he'll end up as a shift-aided second or third baseman at physical maturity. He has physical ability to profile every day in that sort of role but the approach needs to develop. <em>(Fall Instructional League)</em>","lIpzLYf2EHg","sa3005486"
"Aaron Sabato","MIN","1B",,,8,,"45",2024,"Low","21.7027777","6' 2""","230","R","R",2020,"Draft","MIN",2750000,"North Carolina","As I've talked about ad nauseam on this site, the track record for righty-hitting first base-only college hitters is historically bad, and until some recent success stories the industry went a long time with Eric Karros as the only one of this sort who had any kind of big league success. That brings us to Sabato, who played shortstop in high school but is absolutely a first base-only player, if he can even play there at all. Despite this, as I shopped these rankings around baseball, folks thought my pre-draft 40+ FV grade was light due to their confidence in his ability to hit and hit with power. Sabato started mashing the second he arrived at Chapel Hill, clubbing 18 homers as a freshman. He was sophomore eligible draftee, and therefore only played 83 career games, and still teams were about as sure of Sabato's hitting ability as they were of any player's in the 2020 draft. He takes full-body rips but still has acute barrel control. Sabato's issues are mobility and defense. He was a hefty guy for a college sophomore and projects as a 1B/DH-only prospect as he continues to age into his 20s. It means Sabato needs to keep raking to clear that sky high offensive bar, but that's exactly what he's done against elite college pitching. He was in the mix for several teams picking in the middle of the first round before falling to Minnesota, which reads like Trevor Larnach's draft day journey. Sabato will be a 50 FV prospect if he produces on paper up through the upper-minors. <em>(Fall Instructional League)</em>",,"sa3014494"
"Misael Urbina","MIN","CF","R",,9,,"45",2023,"High","18.8055555","6' 0""","175","R","R",2018,"J2","MIN",2750000,"Venezuela","Urbina was one of the more advanced hitters in his July 2 signing class from both a bat control and physical development perspective, and since he's begun to generate a little bit of stateside data, including during intrasquads against Twins pitching much older than him, he's continued to show an advanced idea for what he should be doing at the plate. Urbina's power projection is somewhat limited by his stocky frame, which may be an issue if he does eventually move to a corner. He's an explosive rotator though, and this guy's power doesn't just come from size and strength, but rather an upper body that unwinds kind of like Yuli Gurriel's does. Currently an above-average runner, there's a fair chance he ends up in left field due to a lack of top-end speed, though it might depend on how his body develops. But what's driving the profile here is the bat. Urbina's timing, hand-eye coordination, and all-fields feel for contact at a young age are all advanced for his age. His level of talent is commensurate with high school outfielders typically taken late in the first or sandwich round of a draft. Because of the potential corner profile and lack of physical projection, Urbina will need to perform on paper to climb the FV scale, but the eyeball reports from his amateur days through this Fall all indicate he will. <em>(Fall Instructional League)</em> ","rflqhRGiZ0I","sa3008743"
"Gilberto Celestino","MIN","CF","A+",,10,,"45",2021,"Med","22.0111111","6' 0""","170","R","L",2015,"J2","HOU",2250000,"Dominican Republic","I was surprised last year when Kiley McDaniel and I sourced Celestino's exit velos and learned the ball leaves his bat at 90 mph on average, which is above the big league average. I don't think that means Celestino is going to hit for power, or even that he has more raw than we thought, just that he hits the ball hard with consistency, a pervasive trait in this system. 
At a compact 6-foot or so, he's unlikely to grow into much more thump even though he's still just about 22 years old. Instead, Celestino is a potential everyday player because of his bat-to-ball skills and his center field defense. Celestino was more of an instincts/feel defender as an amateur, but he's sped up as he's grown into his modest frame and projects as a plus glove now. His athleticism is evident not only on defense, but in the batter's box, too, where Celestino stays well balanced during a long, slow leg kick. The lack of power projection caps his ceiling, but I like the defense and bat enough to consider Celestino a potential low-end regular, and a low-variance sort of prospect. He began the 2020 LIDOM season with Gigantes del Ciabo but only played regularly for the first week of the season or so before Jose Siri claimed everyday reps in center field. <em>(Alternate site, LIDOM)</em>","QyYaz8gJrxc","sa914313"
"Keoni Cavaco","MIN","3B","R",,11,,"45",2024,"High","19.7083333","6' 0""","195","R","R",2019,"Draft","MIN",4050000,"Eastlake HS (CA)","A growth spurt buoyed Cavaco's tools and draft stock, and he was 2019's most prominent pop-up high school prospect. He may have had the best frame in the entire draft but had already grown into considerable power as a senior, which he got to in games despite an awkwardly-timed stride and very uphill swing. At times clumsy on defense, Cavaco may still be growing into his new body. He was also catching early in high school, and had to move all over the infield during his upperclass days because talented young shortstop Marcelo Mayer (a potential top five pick in 2021) went to the same high school and was playing short. It seemed likely that, considering his absence from the summer showcase circuit (again, this kid had a late growth spurt), Cavaco might struggle to adjust to the quality of pro pitching. But his 2019 summer after signing was worse than anticipated. He hit .172 and struck out in more than a third of his plate appearances. He had no opportunity to rebound in 2020 because of the cancellation of the minor league season, and like many of us, Cavaco's body yo-yo'd between thick and thin during the year. He's certainly a high-risk prospect but his present power, power projection, and the possibility that he plays a premium position with more reps gives him one of the higher ceilings in this system. <em>(Fall Instructional League)</em>","SHLWav7QLz0","sa3010706"
"Noah Song","BOS","SP","A-",,5,,"45",2023,"High","23.7194444","6' 4""","200","R","R",2019,"Draft","BOS",100000,"Navy","Song did not pitch in 2020 and instead began his two-year military commitment, which is just as well since there was no minor league season and next year's might start later than usual. I've updated some of the stuff related to his commitment's timing, but his scouting report is exactly the same: It's fairly common for a prospect's trade value to be affected by something circumstantial, but Song's situation is unique. He was clearly a first round talent ahead of the 2019 draft, but it was unclear where he'd be picked because of his military commitment. At the time, service academy policy stated that Song had to complete two years of Naval service, after the Trump administration repealed an Obama-era rule that allowed athletes to petition for an exemption in order to pursue pro sports or some other activity that might bolster recruitment or the military's image in general. Then, weeks after Song was drafted, the now-outgoing president reinstated the rule, with the exemption slated to take effect again in 2020. But Song's application for a retroactive waiver was denied by the Navy. He is eligible to apply for an early release in May. 
However long it takes, Song still has among the highest ceilings in this system. He works fast and throws hard, up to 99 during Team USA's late-2019 Premier12 scrimmages in Arizona, his slider is plus, and he will mix in the occasional knee-buckling rainbow curveball. He at least profiles in a high-leverage relief role given the current composition of his stuff and control, and perhaps more than that had he been put into the developmental pipeline more quickly. We can't anticipate what'll happen to his stuff because of the layoff. It's tough to wrangle just how that affects Song's standing as a prospect even if it doesn't impact his talent level, which is rare. <em>(At-home dev)</em>","8izj28iTiyo","sa3011695"
"Tanner Houck","BOS","MIRP","MLB",,6,,"45",2021,"Med","24.6333333","6' 5""","230","R","R",2017,"Draft","BOS",2614500,"Missouri","After the Red Sox asked him to take a mechanical detour early in 2018, Houck's arm slot migrated south again, back to where it lived when he was an electric college starter. He finally made his big league debut in 2020 and worked with a two-seamer, four-seamer and slider across three starts, with his fastballs sitting in the 90-96 mph range. Some folks in baseball think he'll be a Justin Masterson-style starter, and perhaps he'll be put in that role as the Sox rebuild, but on a competitive team, I have Houck projected in a multi-inning relief role, and think his velo could climb to the top of that 90-96 band and touch above it in shorter outings. He started working with a splitter last year, and it showed glimpses of bat-missing bottom at the alternate site (he barely used it in major league games). If that pitches develops, then he'll just be able to start, long-term. <em>(Alternate site, MLB)</em>","QTDQgUJS9H4","19879"
