TM,Location,PITCHERS,IP,SO vlhp,BB vlhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,DP vlhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,DP v rhp,HO,ENDURANCE,FIELD,BK,WP,BAT-B,STL,SPD
NYA,,"Happ,J*",143,18,4,11.4,15.4,19.1,2.6,3,12,21,10,13.8,23.8,28.5,3.2,5,13,-1,S(5),2- 0,0,0,1WL-D,E,10
NYA,,"Holder,J",63,18,13,28.3,41.3,35.3,0,0,0,14,7,13.3,20.3,30.7,3.6,6,0,-1,R(2),4- 0,0,0,1WR-C,E,10
NYA,,"King,M",77,19,11,19.4,30.4,38.5,3.4,6,3,17,3,22.5,25.5,38.3,2.6,3,3,-1,S(4) R(3),2-51,0,0,1WR-C,E,10
NYA,,"Loaisiga,J",67,34,2,25.6,27.6,35.3,0,0,6,29,10,11.8,21.8,32,4.3,6*,10,-1,S(4) R(3),2- 0,0,9,1WR-C,E,10
NYA,,"Montgomery,J*",127,20,4,17.3,21.3,29,1.4,2,9,22,5,19,24,32.8,2.8,5,8,6,S(5),5-51,0,14,1WL-C,E,10
NYA,,"Nelson,N",60,20,22,17.3,39.3,27,2.6,4,7,27,21,12.8,33.8,20.6,2.6,3,7,1,R(3),3- 0,0,0,1WR-C,E,10
NYA,,"Ottavino,A",53,25,28,17.1,45.1,23.6,1.6,1,0,43,10,13.2,23.2,26.3,2,2,0,9,R(1),3- 0,0,11,1WS-C,E,10
NYA,,"Paxton,J*",59,30,0,31,31,51.5,2.8,4,0,39,11,15.3,26.3,36.2,3.6,5,0,-1,S(4),3- 0,0,20,1WL-A,E,10
NYA,,"Tanaka,M",139,21,1,15.1,16.1,32.3,3.6,6,0,21,2,23.7,25.7,39.9,3.2,4,0,-3,S(5),2- 0,0,0,1WR-C,E,10
NYN,,"Betances,D",33,28,19,22.3,41.3,24.4,0,0,3,33,28,3.1,31.1,3.1,0,0,7,9,R(1),4- 0,0,20,1WR-C,E,10
NYN,,"Brach,B",35,5,33,11.3,44.3,16.7,0,0,4,41,21,4.8,25.8,12.9,2.2,3*,4,-1,R(1),2- 0,0,20,1WR-B,E,10
NYN,,"Castro,M",70,26,22,17.2,39.2,30.4,3,4,0,35,10,14.6,24.6,22.4,1.4,1,2,9,R(1) C(1),4- 0,0,0,1WR-C,E,10
NYN,,"Degrom,J",192,44,8,8.9,16.9,20.2,2,3,0,53,0,8.1,8.1,14.9,1.2,1,0,9,S(6),3- 0,0,14,1WL-B,E,14
NYN,,"Diaz,E",73,54,20,1.7,21.7,4.2,0.6,1*,0,53,6,6.7,12.7,13.1,1.8,2,0,2,R(1) C(4),5-51,0,8,1WR-C,E,10
NYN,,"Familia,J",75,13,20,17.4,37.4,31.3,0,0,0,31,15,3.3,18.3,6.5,0,0*,0,9,R(1),4- 0,0,7,1WR-C,E,10
NYN,,"Gsellman,R",40,14,14,26.3,40.3,54.7,6.3,8,3,9,12,26,38,49.7,2.8,5,3,2,S(4) R(3),5-51,0,20,1WR-C,E,10
NYN,,"Hughes,J",63,0,10,16.3,26.3,29.3,2.6,4,8,25,12,12.1,24.1,22.6,1.8,2,7,4,R(2),3- 0,0,0,1WR-C,E,10
NYN,,"Kilome,F",32,12,24,16.9,40.8,38.1,5.3,8,0,22,15,18.1,33.2,43.9,6,8,0,3,R(3) C(0),3- 0,0,16,1WR-C,E,10
NYN,,"Lugo,S",103,34,5,13.4,18.4,25.4,3,6,5,37,1,19.6,20.6,33.6,2.4,4,3,-2,S(4) R(3) C(4),3- 0,0,5,1WR-C,E,10
NYN,,"Matz,S*",86,25,10,27.8,37.8,44.9,1.8,4,4,27,6,20.4,26.4,52.3,9,8,0,-2,S(4) R(3),3- 0,0,13,1WR-A,E,13
NYN,,"Oswalt,C",37,5,5,19.3,24.3,35.3,0,0,0,29,1,22.4,23.4,56.8,7,8,0,2,S(4) R(4),3- 0,0,0,1WR-B,E,10
NYN,,"Peterson,D*",140,23,12,12,24,19.8,0,0,9,16,13,12.4,25.4,22.6,1.4,1,9,-4,S(5) R(3),2- 0,0,4,1WL-C,E,10
NYN,,"Porcello,R",167,20,4,22,26,32.2,1,2,4,19,3,25,28,38,1.8,3,3,0,S(5),2- 0,0,3,1WR-D,E,10
NYN,,"Ramirez,E",41,19,8,11.8,19.8,16.3,1,2,12,4,5,10.9,15.9,21.1,2,3,12,-1,R(3) C(0),3- 0,0,0,1WR-C,E,10
NYN,,"Shreve,C*",71,37,25,3.8,28.8,15.2,3.8,7*,4,46,7,11.4,18.4,29.3,3,4*,3,-1,R(2),2-51,0,0,1WL-C,E,10
NYN,,"Smith,D",20,26,2,13.4,15.4,29.1,2.6,4,0,21,11,12.6,23.6,39.5,7.8,8*,0,-1,R(1),3- 0,0,20,1WR-C,E,10
NYN,,"Wacha,M",96,27,6,17,22.9,30.2,2.2,3,0,17,5,25.1,30.1,50,4.5,7,0,0,S(4) R(3),4- 0,0,12,1WR-B,E,12
NYN,,"Wilson,J*",56,37,13,1.6,14.6,6.5,1.6,3*,6,33,13,19,32,25.8,2,1,3,5,R(1),5-51,0,20,1WL-C,E,10
OAA,,"Bassitt,C",177,25,7,15.5,22.5,32.1,3.4,6,5,18,5,16.5,21.5,23.5,0.6,1,7,-1,S(6),4-22,0,7,1WR-B,E,10
OAA,,"Diekman,J*",60,25,30,8.6,38.6,8.6,0,0,2,63,15,0,15,0,0,0*,0,-1,R(1),3- 0,0,0,1WL-C,E,10
OAA,,"Fiers,M",166,11,7,19,26,31.6,2.8,6,0,4,3,25.5,28.5,41,3.6,7,0,4,S(5),3- 0,0,3,1WR-C,E,10
OAA,,"Hendriks,L",72,50,4,12.9,16.9,23.5,3.2,6,0,54,0,3.7,3.7,7.1,0,0*,0,3,R(1) C(6),2- 0,0,0,1WR-C,E,10
OAA,,"Luzardo,J*",166,31,3,20.3,23.3,33.7,1.4,3,7,29,7,15.9,22.9,26.9,2.2,5,9,-3,S(5) R(3),3-24,7,11,1WL-C,E,10
OAA,,"Manaea,S*",152,16,0,24.2,24.2,43.3,3.4,6,12,20,5,20.7,25.7,30.6,1.8,4,9,-2,S(5),4- 0,0,3,1WR-C,E,10
OAA,,"McFarland,T*",58,0,6,22.7,28.6,49.4,5.3,8,3,0,7,28.4,35.4,43.5,3.2,7,3,-1,R(1),2- 0,0,10,1WL-B,E,10
OAA,,"Mengden,D",35,14,21,20.6,41.6,36.1,2.8,5,1,12,3,25.1,28.1,47.2,3.4,6,4,4,S(4) R(3),3- 0,0,0,1WR-C,E,10
OAA,,"Minor,M*",159,16,2,19.5,21.5,30.3,2,3,1,28,9,12.6,21.6,26.6,3.6,6,4,1,S(5),3-24,0,0,1WR-B,E,10
OAA,,"Montas,F",149,22,13,26.6,39.7,48.5,3,5,0,33,6,10.4,16.5,15.5,1.6,3,0,-2,S(5),4- 0,0,7,1WR-C,E,10
OAA,,"Petit,Y",61,15,4,5.3,9.3,11.8,1.2,2,0,23,1,23.9,24.9,36.5,2.6,5,0,0,R(1),4- 0,0,0,1WR-C,E,10
OAA,,"Smith,B",34,27,5,18.5,23.5,32.7,1.6,3,0,31,7,2.8,9.8,8.3,1.4,3*,0,4,R(3) C(0),3- 0,0,0,1WR-C,E,10
OAA,,"Soria,J",63,27,0,15.1,15.1,23.3,1.8,3,0,36,10,12.3,22.4,17.4,0.2,1,0,0,R(1) C(2),3- 0,0,0,1WR-C,E,10
OAA,,"Trivino,L",66,30,9,17.3,26.3,34.8,3.4,6,10,35,16,5.1,21.1,8.6,1.2,2,10,0,R(1),3- 0,0,10,1WR-C,E,10
OAA,,"Weems,J",40,29,18,19.4,37.3,27.4,1.2,2,0,30,19,6.1,25.1,15.3,1.8,4,4,-1,R(2),3- 0,0,20,1WL-C,E,10
OAA,,"Wendelken,J",71,24,19,6.6,25.6,15.2,1.4,2,7,34,5,11.4,16.4,21.6,1.2,2,8,-1,R(2),5-51,0,18,1WR-C,E,10
PHN,,"Alvarez,J*",19,26,8,29.3,37.3,40.3,0,0,0,19,17,17.1,34.2,24,0,0,0,-1,R(1),2- 0,0,0,1WL-C,E,10
PHN,,"Arrieta,J",129,15,10,24,34,40.7,4.1,5,11,16,7,20.9,27.9,30.5,1.4,0,12,-3,S(5),2- 0,0,20,1WR-C,E,12
PHN,,"Brogdon,C",33,48,1,5,6,20,5,8*,0,47,12,4.8,16.9,19.1,4.8,7*,0,-1,R(2),3- 0,0,0,1WR-C,E,10
PHN,,"Eflin,Z",172,31,10,17,27,40,4.8,8,6,25,0,20.2,20.2,31,0.6,0,11,-2,S(5),2- 0,0,3,1WR-D,E,13
PHN,,"Guerra,D",22,29,4,6,10,14.9,2.2,3*,0,24,4,28.8,32.8,57.6,9.6,8,0,-1,R(1),4- 0,0,0,1WR-C,E,10
PHN,,"Hale,D",49,13,11,21.5,32.5,31.3,0.2,0,9,16,0,32.3,32.3,64.6,4.3,6,9,3,S(4) R(3) C(1),3- 0,0,0,1WR-C,E,10
PHN,,"Hembree,H",54,24,17,12.7,29.7,37.5,5.5,8,5,30,9,25.7,34.7,60.7,7.5,8,0,8,R(1),4- 0,0,0,1WR-C,E,10
PHN,,"Howard,S",71,21,14,19,33,38.8,4.3,6,0,26,10,16.3,26.3,25.5,2.4,3,0,0,S(4),3- 0,0,0,1WR-C,E,10
PHN,,"Hunter,T",72,20,8,19,27,41.7,1.4,2,7,28,1,16.2,17.2,28.4,1.2,1,7,5,R(1) C(0),3- 0,0,0,1WR-C,E,10
PHN,,"Morgan,A*",38,43,14,9.6,23.6,16.1,2.2,3,1,17,9,22.4,31.4,45.4,4.4,6,11,-1,R(1),3-51,0,0,1WL-C,E,10
PHN,,"Neris,H",64,36,21,11.7,32.7,14.1,0.8,0,0,37,0,16.6,16.6,24.7,0,0,0,6,R(1) C(3),4- 0,14,20,1WR-C,E,10
PHN,,"Nola,A",208,37,10,10,20,20,1,0,8,44,2,10.7,12.7,19.3,2.2,3,10,6,S(6*),2- 0,0,2,1WR-A,E,13
PHN,,"Parker,B",47,37,10,18,28,28.8,0,0,0,47,6,4.8,10.9,17,3.6,5*,0,2,R(1),3- 0,0,0,1WR-C,E,10
PHN,,"Phelps,D",61,44,5,9.7,14.7,24.4,4.1,7,5,34,9,14.8,23.8,31.9,4.7,7,6,1,R(1),2- 0,0,11,1WR-C,E,10
PHN,,"Romero,J*",31,21,11,17.8,28.8,30.1,2.2,3,10,15,7,34.4,41.4,49.8,1.6,0,9,-1,R(1),3- 0,0,0,1WL-C,E,10
PHN,,"Rosso,R",28,15,13,24.8,37.8,55.5,3,5*,3,35,25,5,30,11.2,0.6,0*,3,7,S(4) R(3),3- 0,20,20,1WR-C,E,10
PHN,,"Velasquez,V",99,29,13,21.8,34.8,38.9,3,4,0,39,9,13.7,22.7,27.9,2.4,2,0,-2,S(4) R(3),1-39,0,0,1WR-A,E,14
PHN,,"Wheeler,Z",207,21,5,19.5,24.5,29.8,1.6,1,12,19,1,19.9,20.9,27.7,1,0,12,-4,S(6),2-19,0,0,1WL-D,E,12
PHN,,"Workman,B",57,35,11,17.9,28.9,40.3,4.9,8,0,29,15,26.9,41.9,37.2,0.8,0,0,6,R(1) C(5),3- 0,0,0,1WR-C,E,10
PIN,,"Bashlor,T",24,24,8,19,27,46.5,4.3,8*,13,13,21,18.8,39.8,42.8,3.4,7*,11,9,R(1),5- 0,0,20,1WR-C,E,10
PIN,,"Brault,S*",120,26,14,12.7,26.7,16.5,0.2,1,13,18,18,10.7,28.6,14.4,0.6,2,10,-3,S(4),3- 0,0,16,1WL-A,E,10
PIN,,"Brubaker,J",134,16,15,23,38.1,26.5,0.4,0,5,22,2,13,15,26.9,4.5,8,5,0,S(5) R(3),3- 0,0,18,1WR-C,E,10
PIN,,"Crick,K",16,13,22,22,44,22,0,0,0,39,11,10.9,21.9,14.3,0,0,0,9,R(1),5-51,0,0,1WL-C,E,10
PIN,,"Davis,A*",19,6,8,33.9,41.9,45,0.6,2,6,27,8,24.1,32.1,37.4,3.4,6,5,9,R(1),4- 0,0,0,1WL-C,E,10
PIN,,"Hartlieb,G",63,11,14,12.3,26.3,25.1,3.4,7,10,27,28,9.3,37.3,16,0,0,5,-1,R(1),3-51,0,19,1WR-C,E,10
PIN,,"Holland,D*",115,12,5,4.5,9.5,5.3,0,0,10,27,12,19.8,31.8,54.1,8.5,8,5,-3,S(5) R(3),4-51,10,10,1WS-C,E,14
PIN,,"Howard,S*",60,38,14,13.3,27.3,28.7,2.6,5,0,32,11,12,23,30,3.6,8*,0,0,R(1),4- 0,0,0,1WR-C,E,10
PIN,,"Keller,M",62,12,23,9.8,32.8,27.5,4,8*,12,33,17,3.7,20.6,10.6,1.4,2*,12,0,S(4),3- 0,0,20,1WR-D,E,10
PIN,,"Kuhl,C",131,29,17,10.3,27.3,23.8,2.6,5*,5,19,12,16.6,28.6,23.1,1.8,4,5,0,S(4) R(3),2- 0,0,4,1WR-A,E,10
PIN,,"Musgrove,J",112,30,9,14.9,23.9,35,2.6,4*,0,34,5,19.1,24.1,33.1,2,3,0,-3,S(5),2- 0,0,5,1WR-A,E,14
PIN,,"Neverauskas,D",54,27,13,23.9,36.9,44.9,4,8,0,25,16,14.1,30,26.5,2.2,4,1,7,R(1),4- 0,0,20,1WR-C,E,10
PIN,,"Ponce,C",48,15,9,16,25,44.3,4.5,8*,12,18,8,12.6,20.5,34.1,3.8,7*,12,-1,S(4) R(3),3- 0,0,0,1WR-C,E,10
PIN,,"Rodriguez,R",66,52,3,4.3,7.3,10.9,2.2,4,0,28,4,16.3,20.3,20.2,0.8,2,2,9,R(1) C(4),3- 0,0,20,1WR-C,E,10
PIN,,"Stratton,C",84,24,9,13.8,22.8,24.9,1.8,3,0,31,9,15.1,24,29.4,2.2,4,0,9,R(1) C(0),3- 0,0,7,1WR-C,E,10
PIN,,"Tropeano,N",45,21,10,11.4,21.4,27.5,1.8,2,12,30,5,19.6,24.6,42.7,2.8,6,8,-1,R(3),2- 0,0,14,1WR-C,E,10
PIN,,"Turley,N*",62,28,23,12.1,35.1,28.5,2.2,4*,6,24,12,11.1,23.1,23.8,0.8,1*,5,-1,R(1) C(0),4- 0,18,10,1WL-C,E,10
PIN,,"Williams,T",156,11,6,20.3,26.3,31,2.2,4,0,21,8,22.9,30.9,52,6.8,8,0,1,S(5),4-50,0,3,1WR-B,E,12
SDN,,"Altavilla,D",57,26,23,14.2,37.2,32,2.8,5*,9,37,18,12.6,30.5,28.9,2.4,3*,7,9,R(1) C(0),3- 0,0,20,1WR-C,E,10
SDN,,"Clevinger,M",115,25,15,18.2,33.2,34,2.8,4,5,36,6,12.5,18.5,27.4,2.2,4,6,0,S(6),3-34,0,11,1WR-C,E,10
SDN,,"Davies,Z",193,10,5,16.4,21.4,24.5,1,1,7,23,7,20,27,32,3,5,8,-1,S(6),3- 0,0,6,1WR-B,E,14
SDN,,"Guerra,J",37,8,9,45.8,54.8,65.9,3.2,5,1,21,10,34,44,39,0.2,0,7,1,R(1),3- 0,0,20,1WL-C,E,10
SDN,,"Hill,T*",50,21,6,15.8,21.8,20.5,0.6,0,2,33,4,18.3,22.3,41.3,5,8,2,-1,R(1),2- 0,20,12,1WR-C,E,10
SDN,,"Johnson,P",56,40,14,8.9,22.9,20.5,1.2,1,4,35,11,18,29,35,2.2,4,3,-1,R(1),2- 0,20,11,1WR-C,E,10
SDN,,"Lamet,D",192,42,10,5.6,15.6,10.4,1.2,1,4,46,10,10.1,20,20,1,2,2,2,S(6),3- 0,0,3,1WR-B,E,10
SDN,,"Morejon,A*",54,32,5,20.6,25.6,40,4.3,8,7,34,14,14.5,28.5,31.6,5,8,2,-1,S(4) R(3),3- 0,0,0,1WL-C,E,10
SDN,,"Paddack,C",164,21,4,21.6,25.6,40.1,4,7,11,35,1,18.3,19.3,35.8,3.4,6,10,0,S(5),3-48,0,0,1WR-B,E,10
SDN,,"Pagan,E",62,34,18,11.2,29.2,30.8,3.6,7,1,35,6,6.4,12.4,16.3,2.4,4*,12,-1,R(1) C(2),3- 0,0,0,1WL-C,E,10
SDN,,"Patino,L",49,28,18,11.3,29.3,17.3,2,4,0,23,26,15.5,41.6,23.3,2.6,4,0,2,R(2),3- 0,0,11,1WR-C,E,10
SDN,,"Perdomo,L",49,17,19,9.8,28.8,17.5,0.6,1,0,19,8,19.5,27.5,38.2,3.2,6,0,2,S(1) R(1),4-51,0,0,1WR-C,E,12
SDN,,"Pomeranz,D*",52,52,9,5.4,14.4,5.8,0,0,2,45,20,2.8,22.8,6.4,1.2,2,0,1,R(1) C(4),4- 0,0,0,1WR-D,E,10
SDN,,"Richards,G",143,23,11,20.4,31.4,30.7,2.8,5,4,23,7,13.6,20.6,28.1,1.4,2,4,-2,S(5) R(3),4- 0,0,13,1WR-B,E,10
SDN,,"Rosenthal,T",67,48,18,8.3,26.3,17,0.6,0*,3,45,17,8.9,25.9,23.5,1.6,3*,1,-1,R(1) C(5),3- 0,18,0,1WR-C,E,10
SDN,,"Stammen,C",67,16,1,21.1,22.1,26.9,0,0,9,22,4,23.3,27.3,34.9,2.2,4,8,5,R(1),5-51,0,0,1WR-C,E,10
SDN,,"Strahm,M*",58,22,2,6.6,8.6,13.8,2.4,5,4,22,4,18.9,22.9,28.6,1.2,1,4,1,R(1),3- 0,0,11,1WR-B,E,10
SDN,,"Williams,T",42,31,6,21.5,27.5,32.3,0.6,0,3,33,13,13.1,26,16,1,1,3,-1,R(1) C(5),3- 0,20,20,1WS-D,E,13
SEA,,"Brennan,B",21,22,9,16.9,25.9,42.5,5.3,8*,11,22,14,15.5,29.5,25.2,2.6,4,12,8,R(2),3- 0,0,0,1WR-C,E,10
SEA,,"Cortes,N*",22,1,25,34.2,59.2,69.2,9,8,0,23,11,18.5,29.4,64.3,15,8,0,-1,S(4) R(3),2- 0,0,0,1WR-C,E,10
SEA,,"Dunn,J",128,21,19,10.8,29.8,24.6,3.8,7,4,17,13,10,23,20,2.8,4,0,9,S(5),3- 0,0,0,1WR-C,E,10
SEA,,"Gerber,J",44,12,21,22.4,43.4,39.8,0.2,0,8,14,11,18.5,29.4,39.9,1.2,1,12,0,R(1),3- 0,0,15,1WR-C,E,10
SEA,,"Gonzales,M*",196,10,0,28.6,28.6,41.4,1.8,3,4,24,2,15.1,17.1,25.9,1.6,3,5,-6,S(6),2- 0,0,0,1WL-B,E,10
SEA,,"Graveman,K",53,14,9,14.8,23.8,21.5,1.8,3,12,14,10,21.5,31.5,43.5,3,4,12,0,S(4) R(3),4- 0,0,0,1WR-C,E,10
SEA,,"Grotz,Z",21,9,14,32.6,46.6,64.6,6.8,8,9,5,34,19.6,53.6,40.1,5.5,8,6,-1,R(2),4- 0,0,20,1WR-C,E,10
SEA,,"Guilbeau,T*",22,0,18,28.9,46.9,43.9,0,0,11,11,17,14.8,31.8,25.4,0,0,11,8,R(1),4- 0,0,20,1WL-C,E,10
SEA,,"Hirano,Y",35,16,10,24.4,34.3,37.2,3.8,6,0,23,17,28.3,45.3,37.1,0.4,0,0,-1,R(1) C(4),4- 0,0,0,1WR-C,E,10
SEA,,"Kikuchi,Y*",132,21,12,21.1,33.1,29,0.8,1,11,24,11,18,29,33.5,2,2,12,5,S(5),3- 0,0,14,1WL-B,E,10
SEA,,"Lail,B",46,14,10,14.3,24.3,27,4.3,8,8,19,13,13.5,26.5,27.8,4.8,8,8,7,R(3),3- 0,0,0,1WR-C,E,10
SEA,,"Lockett,W",47,3,4,33,37,39.3,0,0,10,15,2,23.8,25.8,39.8,3.4,5,10,-1,S(4) R(3),3- 0,0,0,1WR-C,E,10
SEA,,"Magill,M",29,22,27,8.8,35.8,13.1,0.8,0,8,33,10,12.1,22.1,31.6,6.5,8,5,-1,R(1),3- 0,0,20,1WR-C,E,10
SEA,,"Margevicius,N*",116,13,0,26.6,26.6,54.5,4.1,8,9,19,6,18.3,24.3,35.4,2.4,3,9,-1,S(5) R(3),2- 0,0,11,1WL-B,E,12
SEA,,"Misiewicz,A*",56,36,2,19.4,21.4,29.9,1.4,1,0,35,5,22.5,27.5,46.9,3.2,6,0,-1,R(1),3- 0,0,20,1WR-C,E,10
SEA,,"Newsome,L",44,7,0,32.4,32.4,70.6,6.8,8,0,11,0,19.3,19.3,46.6,4.5,7,0,-1,S(4) R(3),3- 0,0,0,1WR-C,E,10
SEA,,"Ramirez,Y",58,24,29,5.9,34.9,19.4,4.5,7,0,36,28,0.3,28.3,1,0.3,0*,0,-1,R(2) C(4),3- 0,0,20,1WR-C,E,10
SEA,,"Sadler,C",54,33,8,13.3,21.3,30,1.8,2,10,13,18,9.6,27.6,16.4,1.6,3,11,2,R(1),2- 0,0,20,1WR-C,E,10
SEA,,"Sheffield,J*",155,24,11,13.6,24.7,15.8,0.2,0,5,20,14,20.8,34.8,25.8,1,0,5,1,S(6),5- 0,0,3,1WL-C,E,10
SEA,,"Swanson,E",22,29,0,34.6,34.6,64.6,7.3,8,1,30,9,22.5,31.5,58.5,10.3,8,3,-1,R(1),4- 0,0,20,1WR-D,E,10
SFN,,"Anderson,S",43,26,4,8.1,12.1,21.8,3.6,5,6,22,27,7.8,34.8,22.2,2.4,5*,4,-1,R(1),4- 0,0,20,1WR-B,E,10
SFN,,"Anderson,T*",167,17,5,25.8,30.8,43.7,2.4,4,4,17,12,12.4,24.4,23.5,1.2,2,4,-5,S(5) R(3),2-23,0,3,1WL-D,E,12
SFN,,"Baragar,C*",63,17,5,14,19,30,2,3*,0,21,9,19,28,40.8,2.4,4*,0,4,R(1),3- 0,0,10,1WR-C,E,10
SFN,,"Cahill,T",70,28,10,9.2,19.2,20.9,1.2,0*,0,28,21,11.1,32.1,19,1.6,2,0,9,S(4) R(3),4- 0,0,8,1WR-C,E,10
SFN,,"Coonrod,S",41,34,14,21.3,35.3,52.9,4,5*,0,16,13,17,30,23.5,0,0,0,9,R(1) C(3),3- 0,0,13,1WR-C,E,10
SFN,,"Cueto,J",177,19,10,19.9,29.9,34.2,1.8,3,5,18,6,13.9,19.9,22.7,2,3,5,-2,S(5),2- 0,12,2,1WR-D,E,10
SFN,,"Garcia,J*",52,10,8,13.5,21.5,17.4,0.4,0,8,23,8,10.5,18.5,21.2,1.8,2,9,-1,R(1),3- 0,20,0,1WL-C,E,10
SFN,,"Garcia,R",28,16,3,18.1,21.1,36,4,7,10,19,13,29.6,42.6,41.6,0,0,9,-1,R(1),3- 0,0,20,1WR-C,E,10
SFN,,"Gausman,K",167,35,6,13.2,19.1,27.8,2.2,3*,1,32,5,14.9,19.9,23.5,1.8,3,1,1,S(5) R(3),4- 0,6,15,1WL-D,E,10
SFN,,"Gott,T",33,16,8,26.5,34.5,73.8,8.3,8*,11,12,19,11.7,30.7,37.4,7.8,8*,14,-1,R(1) C(4),4- 0,0,0,1WR-C,E,10
SFN,,"Menez,C*",32,30,14,8.6,22.6,18.8,0.8,1*,12,17,16,4,20,16,4,7*,12,-1,R(3),4-51,0,0,1WL-C,E,13
SFN,,"Peralta,W*",76,25,11,8.3,19.3,20.1,2.4,4,3,17,12,17.1,29.1,25.6,2,3,3,-1,R(1),3-51,14,0,1WL-C,E,10
SFN,,"Rogers,T",78,13,10,18.1,28.1,19.5,0,0,6,20,6,20.1,26.1,23.5,0,0,6,-1,R(1) C(2),3- 0,0,0,1WR-C,E,10
SFN,,"Samardzija,J",47,7,10,15.3,25.4,32,4,7,0,0,0,25.8,25.8,52.9,7.5,8,0,-1,S(4),3- 0,0,0,1WR-C,E,13
SFN,,"Selman,S*",54,50,13,2,15,5.8,1,1*,2,30,18,9.1,27,16.3,0.8,0,2,0,R(1) C(0),2- 0,0,20,1WR-C,E,10
SFN,,"Smyly,D*",74,32,7,6.4,13.4,16.2,1.8,3*,0,39,10,11.9,21.8,20.8,1.8,3,0,9,S(4) R(3),4- 0,0,8,1WL-D,E,10
SFN,,"Suarez,A*",27,4,27,9.9,36.9,17.1,0,0*,12,10,9,21.1,30.1,43.3,2.8,4,12,-1,R(2),4- 0,0,20,1WL-C,E,10
SFN,,"Watson,T*",51,19,7,13.3,20.3,21.5,2,2,4,21,2,8.7,10.7,20.1,3.2,5*,4,-1,R(1) C(1),5-51,0,0,1WL-C,E,10
SFN,,"Webb,L",152,20,8,20.9,28.9,31,0.8,0,11,17,14,21.1,35,34.5,0.6,1,10,8,S(4) R(4),4- 0,0,11,1WR-D,E,13
SLN,,"Cabrera,G*",69,36,19,2,21,3,0.2,1,2,33,18,6.8,24.8,18,2.6,4,3,2,R(1) C(0),4- 0,0,20,1WL-D,E,10
SLN,,"Crismatt,N",26,19,0,22.8,22.8,53.1,4.3,8,12,25,2,12.6,14.6,31.3,3.8,6*,12,-1,R(1),2- 0,0,0,1WR-C,E,10
SLN,,"Elledge,S",36,24,24,21.8,45.8,53.5,5,8*,0,33,19,17.1,36.1,36.1,1,2*,6,-1,R(1),4- 0,0,20,1WR-C,E,10
SLN,,"Flaherty,J",123,32,9,14.2,23.2,24.2,2.6,6,1,41,9,12.3,21.3,16.5,1,2,0,-2,S(5),2- 0,0,5,1WR-A,E,15
SLN,,"Gallegos,G",46,49,7,10.2,17.2,14.8,0.6,1,2,46,5,10.6,15.6,17.6,1.6,3,3,5,R(1) C(4),3- 0,0,16,1WR-D,E,10
SLN,,"Gant,J",46,19,17,11,28,16,0,0,0,33,10,10.7,20.6,14.9,0,0,0,-1,R(1),2- 0,0,15,1WR-C,E,10
SLN,,"Gomber,A*",88,6,11,17.4,28.4,31.9,2,5,13,33,14,11.8,25.8,19.1,0.8,2,9,-1,S(4) R(3),3- 0,0,7,1WL-C,E,10
SLN,,"Helsley,R",37,23,13,14.3,27.3,32.3,3,6,2,23,15,8.7,23.7,24.8,3.8,7*,2,-1,R(1) C(0),5- 0,0,0,1WR-C,E,10
SLN,,"Hudson,D",119,15,11,12.5,23.5,24.2,1.2,3,12,13,13,17.3,30.3,21.5,1,1,12,0,S(5),2- 0,0,0,1WR-C,E,10
SLN,,"Kim,K*",119,24,7,17.5,24.5,32.2,0.6,1,13,13,3,17.1,20.1,32,1.6,2,10,-2,S(5) R(3) C(0),3- 0,0,5,1WL-C,E,10
SLN,,"Martinez,C",62,14,10,25.8,35.8,38.1,2.2,5,0,17,4,31.1,35.1,58.7,5.5,8,0,-1,S(4),3-51,0,0,1WR-C,E,12
SLN,,"Miller,A*",40,46,13,9.3,22.3,9.3,0,0,1,28,9,13.3,22.3,16.7,0,0,1,-1,R(1) C(4),3- 0,0,20,1WL-C,E,10
SLN,,"Oviedo,J",75,11,21,15.5,36.5,29.1,1,1,9,14,19,19.8,38.8,34.3,1.4,2,9,2,S(5),2- 0,0,20,1WR-C,E,10
SLN,,"Ponce De Leon,D",100,37,19,5,24,10.8,0.8,2,0,26,17,13,30,35.7,6,8,0,4,S(4) R(3),3- 0,0,0,1WR-C,E,10
SLN,,"Reyes,A",61,32,23,10,33,13.7,0.4,0,2,40,17,11.1,28.1,18,1.2,1,0,3,R(2) C(0),3- 0,0,20,1WR-C,E,10
SLN,,"Wainwright,A",201,12,10,18.5,28.5,31.5,3.6,7,9,20,3,21.6,24.5,30.8,0.6,0,10,-2,S(6),2- 0,0,0,1WR-A,E,10
SLN,,"Webb,T*",67,19,13,6.8,19.9,11.4,0.6,2,12,23,10,25.8,35.8,42.1,3.8,8,5,2,R(1) C(0),3-51,0,10,1WL-C,E,10
SLN,,"Woodford,J",65,12,10,19.5,29.5,30,2.6,5,8,16,9,22.8,31.8,50.5,8,8,8,-1,R(2),4- 0,0,11,1WR-C,E,10
TBA,,"Alvarado,J*",25,58,16,1.2,17.2,1.8,0.2,0*,2,25,21,18.2,39.2,34.8,3.2,6,2,7,R(1),3- 0,0,20,1WL-C,E,10
